JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 28,ACCOUNTLEVEL,-5,86,12,77,15,197,36,160,614,13030
Adoption Test - Account 28,ACCOUNTLEVEL,-4,52,10,181,35,142,9,933,2943,13094
Adoption Test - Account 28,ACCOUNTLEVEL,-3,52,28,76,37,230,30,708,9069,3873
Adoption Test - Account 28,ACCOUNTLEVEL,-2,57,27,163,71,199,48,105,4540,5891
Adoption Test - Account 28,ACCOUNTLEVEL,-1,48,26,85,115,234,40,600,5435,9616
Adoption Test - Account 28,ACCOUNTLEVEL,0,20,16,140,142,246,35,377,3190,13374
Adoption Test - Account 29,ACCOUNTLEVEL,-13,50,47,71,26,212,56,326,2658,8044
Adoption Test - Account 29,ACCOUNTLEVEL,-12,94,27,158,25,196,10,366,878,10439
Adoption Test - Account 29,ACCOUNTLEVEL,-11,74,36,90,142,198,9,288,725,19869
Adoption Test - Account 29,ACCOUNTLEVEL,-10,5,45,185,40,207,44,922,3901,19886
Adoption Test - Account 29,ACCOUNTLEVEL,-9,19,11,108,41,174,5,98,388,13387
Adoption Test - Account 29,ACCOUNTLEVEL,-8,67,11,147,84,134,12,585,8349,12218
Adoption Test - Account 29,ACCOUNTLEVEL,-7,45,19,198,59,200,47,952,9125,8398
Adoption Test - Account 29,ACCOUNTLEVEL,-6,41,29,164,85,139,12,998,5857,18837
Adoption Test - Account 29,ACCOUNTLEVEL,-5,94,49,195,65,112,58,507,3560,5405
Adoption Test - Account 29,ACCOUNTLEVEL,-4,90,46,100,101,242,57,949,5945,4358
Adoption Test - Account 29,ACCOUNTLEVEL,-3,82,12,161,99,223,32,872,848,6462
Adoption Test - Account 29,ACCOUNTLEVEL,-2,75,18,157,72,123,19,915,3896,1598
Adoption Test - Account 29,ACCOUNTLEVEL,-1,63,32,146,137,121,15,828,1520,12932
Adoption Test - Account 29,ACCOUNTLEVEL,0,8,10,135,121,209,44,957,2857,7838
Adoption Test - Account 3,ACCOUNTLEVEL,-13,51,35,110,110,243,49,115,6230,17362
Adoption Test - Account 3,ACCOUNTLEVEL,-12,25,12,92,100,212,1,473,6449,18764
Adoption Test - Account 3,ACCOUNTLEVEL,-11,88,16,135,20,151,2,557,8665,11340
Adoption Test - Account 3,ACCOUNTLEVEL,-10,78,23,53,36,196,32,945,1115,3300
Adoption Test - Account 3,ACCOUNTLEVEL,-9,7,27,63,121,194,49,560,9721,1502
Adoption Test - Account 3,ACCOUNTLEVEL,-8,11,20,97,135,210,8,985,1456,10721
Adoption Test - Account 3,ACCOUNTLEVEL,-7,12,17,67,142,194,39,810,649,5074
Adoption Test - Account 3,ACCOUNTLEVEL,-6,36,48,117,149,170,28,486,7203,12449
Adoption Test - Account 3,ACCOUNTLEVEL,-5,93,17,86,123,207,20,270,9801,7314
Adoption Test - Account 3,ACCOUNTLEVEL,-4,11,47,162,46,250,25,812,9266,12902
Adoption Test - Account 3,ACCOUNTLEVEL,-3,62,15,60,28,211,55,247,4805,9547
Adoption Test - Account 3,ACCOUNTLEVEL,-2,28,31,178,98,166,17,616,8760,2492
Adoption Test - Account 3,ACCOUNTLEVEL,-1,9,26,164,42,245,50,63,1693,16903
Adoption Test - Account 3,ACCOUNTLEVEL,0,44,42,109,107,110,21,621,4009,16305
Adoption Test - Account 30,ACCOUNTLEVEL,-13,80,17,56,6,110,31,73,7061,6419
Adoption Test - Account 30,ACCOUNTLEVEL,-12,59,26,88,11,148,17,469,6160,17803
Adoption Test - Account 30,ACCOUNTLEVEL,-11,40,10,193,31,194,49,770,7918,18718
Adoption Test - Account 30,ACCOUNTLEVEL,-10,65,18,148,89,131,38,531,3855,16592
Adoption Test - Account 30,ACCOUNTLEVEL,-9,22,39,176,80,144,30,451,8849,266
Adoption Test - Account 30,ACCOUNTLEVEL,-8,29,44,94,12,238,47,263,5428,5144
Adoption Test - Account 30,ACCOUNTLEVEL,-7,59,42,165,49,224,50,789,5999,1871
Adoption Test - Account 30,ACCOUNTLEVEL,-6,77,44,73,17,146,42,683,607,14437
Adoption Test - Account 30,ACCOUNTLEVEL,-5,46,34,55,4,147,39,680,5269,5985
Adoption Test - Account 30,ACCOUNTLEVEL,-4,86,38,92,73,236,35,57,7881,1678
Adoption Test - Account 30,ACCOUNTLEVEL,-3,67,20,121,23,127,20,332,9210,18302
Adoption Test - Account 30,ACCOUNTLEVEL,-2,31,37,178,41,238,17,311,6976,2728
Adoption Test - Account 30,ACCOUNTLEVEL,-1,59,20,142,61,150,16,58,2300,1668
Adoption Test - Account 30,ACCOUNTLEVEL,0,71,40,91,139,207,10,581,898,8396
Adoption Test - Account 31,ACCOUNTLEVEL,-13,11,18,78,21,195,1,771,364,4681
Adoption Test - Account 31,ACCOUNTLEVEL,-12,17,49,196,5,157,10,784,7454,7865
Adoption Test - Account 31,ACCOUNTLEVEL,-11,54,39,94,75,245,51,51,7747,2040
Adoption Test - Account 31,ACCOUNTLEVEL,-10,29,12,113,38,171,53,338,4260,8795
Adoption Test - Account 31,ACCOUNTLEVEL,-9,26,45,130,79,113,17,905,6411,1643
Adoption Test - Account 31,ACCOUNTLEVEL,-8,7,29,188,123,209,5,63,2667,9309
Adoption Test - Account 31,ACCOUNTLEVEL,-7,69,46,142,63,222,4,780,7603,2736
Adoption Test - Account 31,ACCOUNTLEVEL,-6,44,19,83,97,188,11,16,3454,19085
Adoption Test - Account 31,ACCOUNTLEVEL,-5,5,28,193,112,218,17,180,3815,11198
Adoption Test - Account 31,ACCOUNTLEVEL,-4,20,22,138,23,179,46,131,5885,3257
Adoption Test - Account 31,ACCOUNTLEVEL,-3,30,29,150,56,187,18,876,7197,16837
Adoption Test - Account 31,ACCOUNTLEVEL,-2,41,13,52,133,137,14,478,1553,15787
Adoption Test - Account 31,ACCOUNTLEVEL,-1,67,20,194,65,111,21,244,1349,4943
Adoption Test - Account 31,ACCOUNTLEVEL,0,85,17,117,1,159,28,869,2886,18715
Adoption Test - Account 32,ACCOUNTLEVEL,-13,17,42,182,51,210,39,642,5751,15995
Adoption Test - Account 32,ACCOUNTLEVEL,-12,48,42,163,87,230,12,821,8793,316
Adoption Test - Account 32,ACCOUNTLEVEL,-11,11,38,137,84,187,16,533,2064,16425
Adoption Test - Account 32,ACCOUNTLEVEL,-10,14,27,69,51,124,29,735,4292,15563
Adoption Test - Account 32,ACCOUNTLEVEL,-9,32,33,82,121,165,25,761,6339,5250
Adoption Test - Account 32,ACCOUNTLEVEL,-8,17,34,137,18,197,37,640,2346,5370
Adoption Test - Account 32,ACCOUNTLEVEL,-7,4,17,54,50,146,48,838,2284,7215
Adoption Test - Account 32,ACCOUNTLEVEL,-6,84,41,67,150,224,35,928,3608,4691
Adoption Test - Account 32,ACCOUNTLEVEL,-5,99,45,181,72,236,18,523,5352,5514
Adoption Test - Account 32,ACCOUNTLEVEL,-4,87,22,199,21,206,17,66,7320,12787
Adoption Test - Account 32,ACCOUNTLEVEL,-3,65,14,122,67,148,17,41,9689,15790
Adoption Test - Account 32,ACCOUNTLEVEL,-2,78,37,198,135,194,16,631,8470,1441
Adoption Test - Account 32,ACCOUNTLEVEL,-1,11,14,160,16,204,18,194,49,17451
Adoption Test - Account 32,ACCOUNTLEVEL,0,52,24,130,29,181,13,418,5109,3979
Adoption Test - Account 33,ACCOUNTLEVEL,-13,71,47,170,134,188,12,148,6128,8338
Adoption Test - Account 33,ACCOUNTLEVEL,-12,56,20,165,33,212,44,766,1329,17800
Adoption Test - Account 33,ACCOUNTLEVEL,-11,100,17,100,113,142,12,153,2444,19752
Adoption Test - Account 33,ACCOUNTLEVEL,-10,43,44,62,145,175,55,915,266,17176
Adoption Test - Account 33,ACCOUNTLEVEL,-9,12,18,182,104,183,6,544,8206,3362
Adoption Test - Account 33,ACCOUNTLEVEL,-8,34,43,141,69,131,12,562,1351,6705
Adoption Test - Account 33,ACCOUNTLEVEL,-7,47,41,72,37,161,37,410,3122,1841
Adoption Test - Account 33,ACCOUNTLEVEL,-6,16,50,95,58,229,14,536,6369,8354
Adoption Test - Account 33,ACCOUNTLEVEL,-5,25,12,70,87,190,27,731,2511,3702
Adoption Test - Account 33,ACCOUNTLEVEL,-4,11,44,118,4,233,47,37,9009,18502
Adoption Test - Account 33,ACCOUNTLEVEL,-3,28,23,163,148,140,21,381,2089,8205
Adoption Test - Account 33,ACCOUNTLEVEL,-2,88,43,131,116,132,31,887,32,19275
Adoption Test - Account 33,ACCOUNTLEVEL,-1,57,11,66,67,153,57,515,5921,10256
Adoption Test - Account 33,ACCOUNTLEVEL,0,81,23,125,99,215,22,573,7540,18095
Adoption Test - Account 34,ACCOUNTLEVEL,-13,90,30,172,125,191,52,256,3519,11050
Adoption Test - Account 34,ACCOUNTLEVEL,-12,42,21,176,2,194,11,611,9820,16732
Adoption Test - Account 34,ACCOUNTLEVEL,-11,70,40,127,112,113,16,7,1330,8478
Adoption Test - Account 34,ACCOUNTLEVEL,-10,78,20,95,102,180,42,591,7740,7748
Adoption Test - Account 34,ACCOUNTLEVEL,-9,93,22,181,25,107,38,249,6014,14728
Adoption Test - Account 34,ACCOUNTLEVEL,-8,25,38,189,139,184,54,980,5480,19434
Adoption Test - Account 34,ACCOUNTLEVEL,-7,79,13,171,73,119,15,156,9531,981
Adoption Test - Account 34,ACCOUNTLEVEL,-6,0,19,164,65,203,27,373,3141,18990
Adoption Test - Account 34,ACCOUNTLEVEL,-5,82,40,89,143,164,42,694,901,19789
Adoption Test - Account 34,ACCOUNTLEVEL,-4,92,15,83,89,102,19,16,7881,9628
Adoption Test - Account 34,ACCOUNTLEVEL,-3,21,17,121,133,223,60,409,3893,15913
Adoption Test - Account 34,ACCOUNTLEVEL,-2,8,28,115,123,158,48,102,2896,15219
Adoption Test - Account 34,ACCOUNTLEVEL,-1,43,33,159,5,130,33,504,8471,12813
Adoption Test - Account 34,ACCOUNTLEVEL,0,68,46,109,57,133,60,126,2060,7930
Adoption Test - Account 35,ACCOUNTLEVEL,-13,10,27,186,133,174,12,641,3674,18434
Adoption Test - Account 35,ACCOUNTLEVEL,-12,61,46,62,147,105,18,993,7740,18884
Adoption Test - Account 35,ACCOUNTLEVEL,-11,91,45,197,137,119,52,56,3717,4614
Adoption Test - Account 35,ACCOUNTLEVEL,-10,24,49,142,99,118,33,806,2912,3107
Adoption Test - Account 35,ACCOUNTLEVEL,-9,15,38,180,93,169,43,763,928,17131
Adoption Test - Account 35,ACCOUNTLEVEL,-8,42,23,125,144,230,21,421,6914,13857
Adoption Test - Account 35,ACCOUNTLEVEL,-7,93,36,92,23,222,27,768,6463,7598
Adoption Test - Account 35,ACCOUNTLEVEL,-6,17,50,168,128,239,25,129,6534,18609
Adoption Test - Account 35,ACCOUNTLEVEL,-5,35,43,195,124,215,47,133,5347,15560
Adoption Test - Account 35,ACCOUNTLEVEL,-4,53,13,122,88,227,10,872,5117,11856
Adoption Test - Account 35,ACCOUNTLEVEL,-3,26,37,142,46,117,19,544,3161,4259
Adoption Test - Account 35,ACCOUNTLEVEL,-2,34,38,85,22,187,43,959,4752,16712
Adoption Test - Account 35,ACCOUNTLEVEL,-1,97,28,68,107,194,15,854,8219,9327
Adoption Test - Account 35,ACCOUNTLEVEL,0,52,29,120,40,110,49,301,3802,16636
Adoption Test - Account 36,ACCOUNTLEVEL,-13,6,28,66,117,124,20,228,125,15723
Adoption Test - Account 36,ACCOUNTLEVEL,-12,42,10,107,3,248,20,122,1054,9887
Adoption Test - Account 36,ACCOUNTLEVEL,-11,2,30,62,19,179,59,711,3837,11081
Adoption Test - Account 36,ACCOUNTLEVEL,-10,79,42,76,86,243,52,294,4699,2999
Adoption Test - Account 36,ACCOUNTLEVEL,-9,84,19,179,131,216,4,114,5405,8771
Adoption Test - Account 36,ACCOUNTLEVEL,-8,76,41,150,126,247,20,689,8377,6166
Adoption Test - Account 36,ACCOUNTLEVEL,-7,93,24,81,77,118,59,282,4177,2557
Adoption Test - Account 36,ACCOUNTLEVEL,-6,9,23,93,86,165,1,917,6193,14893
Adoption Test - Account 36,ACCOUNTLEVEL,-5,76,21,81,85,243,24,589,5852,1383
Adoption Test - Account 36,ACCOUNTLEVEL,-4,48,28,187,35,155,29,207,4355,1145
Adoption Test - Account 36,ACCOUNTLEVEL,-3,86,50,157,77,224,26,567,2095,8070
Adoption Test - Account 36,ACCOUNTLEVEL,-2,34,41,166,127,164,41,317,4907,18526
Adoption Test - Account 36,ACCOUNTLEVEL,-1,86,42,115,118,238,4,554,9626,18793
Adoption Test - Account 36,ACCOUNTLEVEL,0,100,20,147,33,124,8,179,2262,16561
Adoption Test - Account 37,ACCOUNTLEVEL,-13,96,10,117,45,169,46,544,3862,16808
Adoption Test - Account 37,ACCOUNTLEVEL,-12,31,25,121,14,205,22,53,1571,17948
Adoption Test - Account 37,ACCOUNTLEVEL,-11,65,12,84,120,221,37,18,4231,2069
Adoption Test - Account 37,ACCOUNTLEVEL,-10,38,29,86,79,171,58,341,2122,16702
Adoption Test - Account 37,ACCOUNTLEVEL,-9,11,37,77,118,241,37,560,4050,16605
Adoption Test - Account 37,ACCOUNTLEVEL,-8,0,17,139,144,212,12,479,6391,3964
Adoption Test - Account 37,ACCOUNTLEVEL,-7,22,42,157,55,123,45,773,2003,16306
Adoption Test - Account 37,ACCOUNTLEVEL,-6,58,15,192,61,101,11,350,6000,6999
Adoption Test - Account 37,ACCOUNTLEVEL,-5,46,35,51,139,102,57,656,3182,5892
Adoption Test - Account 37,ACCOUNTLEVEL,-4,0,41,143,42,225,20,80,2886,9362
Adoption Test - Account 37,ACCOUNTLEVEL,-3,59,33,71,82,102,39,380,4348,13004
Adoption Test - Account 37,ACCOUNTLEVEL,-2,46,35,147,50,120,1,555,4013,12527
Adoption Test - Account 37,ACCOUNTLEVEL,-1,48,29,173,145,249,51,389,6284,281
Adoption Test - Account 37,ACCOUNTLEVEL,0,63,15,114,41,155,58,217,4977,4023
Adoption Test - Account 38,ACCOUNTLEVEL,-13,33,48,165,133,132,19,959,6249,14526
Adoption Test - Account 38,ACCOUNTLEVEL,-12,67,22,143,80,108,15,833,4242,475
Adoption Test - Account 38,ACCOUNTLEVEL,-11,15,50,157,83,235,17,858,7432,15385
Adoption Test - Account 38,ACCOUNTLEVEL,-10,94,12,76,126,115,47,936,5621,11923
Adoption Test - Account 38,ACCOUNTLEVEL,-9,62,19,57,26,133,53,649,747,3368
Adoption Test - Account 38,ACCOUNTLEVEL,-8,11,24,159,112,156,47,5,4077,19210
Adoption Test - Account 38,ACCOUNTLEVEL,-7,43,31,172,12,236,5,559,1111,8281
Adoption Test - Account 38,ACCOUNTLEVEL,-6,36,27,92,83,211,59,234,9430,16979
Adoption Test - Account 38,ACCOUNTLEVEL,-5,70,19,171,132,197,31,361,6339,506
Adoption Test - Account 38,ACCOUNTLEVEL,-4,77,21,150,143,154,28,896,7851,8173
Adoption Test - Account 38,ACCOUNTLEVEL,-3,83,50,145,84,146,29,638,8330,5957
Adoption Test - Account 38,ACCOUNTLEVEL,-2,73,12,53,17,228,4,69,251,17594
Adoption Test - Account 38,ACCOUNTLEVEL,-1,53,42,168,74,191,59,370,8649,16942
Adoption Test - Account 38,ACCOUNTLEVEL,0,56,23,170,111,137,27,324,2332,2135
Adoption Test - Account 39,ACCOUNTLEVEL,-13,55,23,105,142,136,43,951,9983,12199
Adoption Test - Account 39,ACCOUNTLEVEL,-12,57,12,63,88,247,42,419,1167,19171
Adoption Test - Account 39,ACCOUNTLEVEL,-11,41,47,97,133,220,36,946,8004,14423
Adoption Test - Account 39,ACCOUNTLEVEL,-10,100,37,171,2,185,38,485,7261,1179
Adoption Test - Account 39,ACCOUNTLEVEL,-9,61,20,197,10,134,42,995,3358,7183
Adoption Test - Account 39,ACCOUNTLEVEL,-8,47,34,129,68,170,8,439,5431,1753
Adoption Test - Account 39,ACCOUNTLEVEL,-7,14,21,53,120,190,48,969,2174,9139
Adoption Test - Account 39,ACCOUNTLEVEL,-6,33,21,59,119,132,55,772,488,13066
Adoption Test - Account 39,ACCOUNTLEVEL,-5,99,47,114,2,179,30,230,7611,1320
Adoption Test - Account 39,ACCOUNTLEVEL,-4,82,15,129,140,158,24,756,4309,17594
Adoption Test - Account 39,ACCOUNTLEVEL,-3,96,18,61,95,211,24,370,2358,1490
Adoption Test - Account 39,ACCOUNTLEVEL,-2,84,49,70,69,150,42,534,8146,2301
Adoption Test - Account 39,ACCOUNTLEVEL,-1,1,30,65,80,150,40,804,7120,10839
Adoption Test - Account 39,ACCOUNTLEVEL,0,49,34,186,18,167,21,494,3318,4205
Adoption Test - Account 4,ACCOUNTLEVEL,-13,81,20,195,136,235,1,437,4680,15711
Adoption Test - Account 4,ACCOUNTLEVEL,-12,47,34,92,50,107,48,467,9114,16972
Adoption Test - Account 4,ACCOUNTLEVEL,-11,0,39,194,63,235,46,305,4622,4015
Adoption Test - Account 4,ACCOUNTLEVEL,-10,95,42,146,102,244,24,607,2865,5929
Adoption Test - Account 4,ACCOUNTLEVEL,-9,11,12,90,49,214,29,307,3182,653
Adoption Test - Account 4,ACCOUNTLEVEL,-8,89,28,199,4,186,34,984,7856,7097
Adoption Test - Account 4,ACCOUNTLEVEL,-7,84,28,151,4,155,24,63,1228,10750
Adoption Test - Account 4,ACCOUNTLEVEL,-6,17,43,171,10,142,2,437,318,4190
Adoption Test - Account 4,ACCOUNTLEVEL,-5,93,13,139,119,181,21,364,5781,2634
Adoption Test - Account 4,ACCOUNTLEVEL,-4,62,34,100,91,172,47,516,8699,2308
Adoption Test - Account 4,ACCOUNTLEVEL,-3,48,13,56,45,138,27,926,5377,14024
Adoption Test - Account 4,ACCOUNTLEVEL,-2,87,36,68,31,141,28,291,8979,19054
Adoption Test - Account 4,ACCOUNTLEVEL,-1,7,28,177,79,135,20,395,418,18623
Adoption Test - Account 4,ACCOUNTLEVEL,0,91,28,93,143,227,56,199,2103,4127
Adoption Test - Account 40,ACCOUNTLEVEL,-13,23,19,70,43,171,10,206,6874,15134
Adoption Test - Account 40,ACCOUNTLEVEL,-12,75,21,152,9,233,26,785,7678,16275
Adoption Test - Account 40,ACCOUNTLEVEL,-11,25,17,189,66,237,13,21,339,17682
Adoption Test - Account 40,ACCOUNTLEVEL,-10,37,33,143,102,221,58,545,5308,3337
Adoption Test - Account 40,ACCOUNTLEVEL,-9,65,39,120,54,174,26,289,143,17941
Adoption Test - Account 40,ACCOUNTLEVEL,-8,40,10,111,126,191,34,588,8216,17907
Adoption Test - Account 40,ACCOUNTLEVEL,-7,87,43,166,68,238,59,304,6400,4914
Adoption Test - Account 40,ACCOUNTLEVEL,-6,20,47,194,125,152,16,392,8244,175
Adoption Test - Account 40,ACCOUNTLEVEL,-5,5,36,76,19,111,24,242,26,6401
Adoption Test - Account 40,ACCOUNTLEVEL,-4,2,44,188,82,249,41,824,9301,10412
Adoption Test - Account 40,ACCOUNTLEVEL,-3,51,45,115,19,218,58,718,8562,16818
Adoption Test - Account 40,ACCOUNTLEVEL,-2,90,33,156,28,199,48,967,7796,1637
Adoption Test - Account 40,ACCOUNTLEVEL,-1,36,30,198,75,211,24,149,6721,6737
Adoption Test - Account 40,ACCOUNTLEVEL,0,5,50,101,107,221,40,139,2932,7790
Adoption Test - Account 5,ACCOUNTLEVEL,-13,91,16,52,1,129,4,377,4537,12644
Adoption Test - Account 5,ACCOUNTLEVEL,-12,96,12,110,93,178,37,540,153,1115
Adoption Test - Account 5,ACCOUNTLEVEL,-11,68,19,189,96,199,45,523,1087,15633
Adoption Test - Account 5,ACCOUNTLEVEL,-10,59,49,97,99,165,55,51,2528,8973
Adoption Test - Account 5,ACCOUNTLEVEL,-9,45,31,122,27,133,31,986,7957,10487
Adoption Test - Account 5,ACCOUNTLEVEL,-8,30,20,110,13,240,14,632,1539,17860
Adoption Test - Account 5,ACCOUNTLEVEL,-7,27,32,125,80,193,8,320,4472,2919
Adoption Test - Account 5,ACCOUNTLEVEL,-6,81,22,62,68,172,14,821,6798,19650
Adoption Test - Account 5,ACCOUNTLEVEL,-5,58,24,67,5,250,58,186,5494,1280
Adoption Test - Account 5,ACCOUNTLEVEL,-4,46,11,100,122,163,49,863,9824,14018
Adoption Test - Account 5,ACCOUNTLEVEL,-3,18,36,78,93,206,36,761,7899,17203
Adoption Test - Account 5,ACCOUNTLEVEL,-2,17,32,84,99,141,31,877,4504,19835
Adoption Test - Account 5,ACCOUNTLEVEL,-1,41,34,197,78,211,19,162,614,14884
Adoption Test - Account 5,ACCOUNTLEVEL,0,84,23,60,135,191,45,60,2488,13891
Adoption Test - Account 6,ACCOUNTLEVEL,-13,96,42,132,148,101,37,151,9093,16037
Adoption Test - Account 6,ACCOUNTLEVEL,-12,51,46,195,78,163,45,417,4594,2409
Adoption Test - Account 6,ACCOUNTLEVEL,-11,23,47,91,30,127,42,452,1744,4080
Adoption Test - Account 6,ACCOUNTLEVEL,-10,65,41,160,79,169,2,40,4898,18547
Adoption Test - Account 6,ACCOUNTLEVEL,-9,21,23,66,79,152,54,619,5831,7086
Adoption Test - Account 6,ACCOUNTLEVEL,-8,91,34,89,137,195,28,138,1822,5623
Adoption Test - Account 6,ACCOUNTLEVEL,-7,68,42,98,116,211,9,742,892,349
Adoption Test - Account 6,ACCOUNTLEVEL,-6,99,33,65,37,197,52,971,2913,13823
Adoption Test - Account 6,ACCOUNTLEVEL,-5,23,12,131,97,198,23,881,4213,13368
Adoption Test - Account 6,ACCOUNTLEVEL,-4,96,49,125,65,148,40,86,5853,8169
Adoption Test - Account 6,ACCOUNTLEVEL,-3,4,28,177,87,196,49,994,9351,1859
Adoption Test - Account 6,ACCOUNTLEVEL,-2,64,16,52,50,206,4,791,3351,13510
Adoption Test - Account 6,ACCOUNTLEVEL,-1,93,25,103,106,197,7,848,4275,8290
Adoption Test - Account 6,ACCOUNTLEVEL,0,12,43,176,60,118,57,374,6233,9126
Adoption Test - Account 7,ACCOUNTLEVEL,-13,67,16,99,9,199,37,84,7201,5927
Adoption Test - Account 7,ACCOUNTLEVEL,-12,96,16,185,75,184,31,855,2345,5589
Adoption Test - Account 7,ACCOUNTLEVEL,-11,21,45,74,53,172,22,838,1942,1111
Adoption Test - Account 7,ACCOUNTLEVEL,-10,4,37,116,50,124,9,391,9745,8117
Adoption Test - Account 7,ACCOUNTLEVEL,-9,65,14,89,117,242,51,478,2470,17886
Adoption Test - Account 7,ACCOUNTLEVEL,-8,76,17,106,0,116,28,326,7657,1986
Adoption Test - Account 7,ACCOUNTLEVEL,-7,7,15,66,147,210,18,527,8181,2364
Adoption Test - Account 7,ACCOUNTLEVEL,-6,49,38,120,93,220,9,755,3554,12608
Adoption Test - Account 7,ACCOUNTLEVEL,-5,23,48,199,55,148,45,142,7337,14993
Adoption Test - Account 7,ACCOUNTLEVEL,-4,98,28,52,74,154,7,799,8981,19594
Adoption Test - Account 7,ACCOUNTLEVEL,-3,31,12,135,122,137,10,574,600,17852
Adoption Test - Account 7,ACCOUNTLEVEL,-2,59,49,183,144,204,35,933,1288,2809
Adoption Test - Account 7,ACCOUNTLEVEL,-1,25,24,114,34,169,2,238,6388,9871
Adoption Test - Account 7,ACCOUNTLEVEL,0,87,15,120,56,229,35,831,6550,7981
Adoption Test - Account 8,ACCOUNTLEVEL,-13,56,35,112,5,196,60,739,8582,977
Adoption Test - Account 8,ACCOUNTLEVEL,-12,90,27,117,7,110,2,207,5513,13276
Adoption Test - Account 8,ACCOUNTLEVEL,-11,56,14,92,43,132,41,979,6632,4742
Adoption Test - Account 8,ACCOUNTLEVEL,-10,3,25,147,28,105,8,738,5871,13752
Adoption Test - Account 8,ACCOUNTLEVEL,-9,82,36,90,121,247,49,877,6157,12266
Adoption Test - Account 8,ACCOUNTLEVEL,-8,14,45,53,105,143,9,258,4192,3321
Adoption Test - Account 8,ACCOUNTLEVEL,-7,76,10,122,65,230,34,185,3257,6628
Adoption Test - Account 8,ACCOUNTLEVEL,-6,34,32,181,113,250,30,971,9674,8365
Adoption Test - Account 8,ACCOUNTLEVEL,-5,79,10,109,84,134,44,624,6229,2773
Adoption Test - Account 8,ACCOUNTLEVEL,-4,67,43,177,8,235,48,332,7897,9044
Adoption Test - Account 8,ACCOUNTLEVEL,-3,73,17,114,121,207,46,991,1684,2685
Adoption Test - Account 8,ACCOUNTLEVEL,-2,20,10,93,120,177,31,142,7503,13226
Adoption Test - Account 8,ACCOUNTLEVEL,-1,75,42,180,68,112,25,728,6042,14766
Adoption Test - Account 8,ACCOUNTLEVEL,0,5,22,76,83,170,21,131,6573,14177
Adoption Test - Account 9,ACCOUNTLEVEL,-13,60,21,121,26,156,13,770,1535,6559
Adoption Test - Account 9,ACCOUNTLEVEL,-12,59,33,128,121,249,50,380,92,15368
Adoption Test - Account 9,ACCOUNTLEVEL,-11,21,11,83,56,119,22,95,6494,2660
Adoption Test - Account 9,ACCOUNTLEVEL,-10,3,13,50,99,209,29,97,3693,19724
Adoption Test - Account 9,ACCOUNTLEVEL,-9,84,22,105,0,229,33,611,8003,497
Adoption Test - Account 9,ACCOUNTLEVEL,-8,0,29,195,67,250,27,184,3050,17099
Adoption Test - Account 9,ACCOUNTLEVEL,-7,12,35,50,111,129,50,312,5324,3658
Adoption Test - Account 9,ACCOUNTLEVEL,-6,6,50,161,138,204,52,854,4564,17341
Adoption Test - Account 9,ACCOUNTLEVEL,-5,34,43,162,22,205,51,509,5908,2979
Adoption Test - Account 9,ACCOUNTLEVEL,-4,90,22,77,77,235,12,715,8848,19706
Adoption Test - Account 9,ACCOUNTLEVEL,-3,72,13,145,4,195,9,636,7560,11039
Adoption Test - Account 9,ACCOUNTLEVEL,-2,76,50,149,64,173,40,447,6802,8047
Adoption Test - Account 9,ACCOUNTLEVEL,-1,90,25,115,97,209,55,52,2989,17828
Adoption Test - Account 9,ACCOUNTLEVEL,0,86,41,143,126,108,38,12,3267,9261
