ColumnList__c,AccountReference__c,BaseObject__c,Dimensions__c,FilterConditions__c,GraphType__c,IsRB__c,IsShown__c,IsStandard__c,Measures__c,Name,QueryOptions__c,ReportParams__c,ShowDefault__c,UITabName__c,Visibility__c,VisualType__c
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":""CM"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false},{""summerizedBy"":null,""objectName"":""UsageData__c"",""name"":""Account__r.Name"",""label"":""Account Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""TEXT"",""stacked"":false}]",[],STACKED-COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""}]",<script></Script>,,[],FALSE,Usage Data,Public,Chart
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Page_Views__c"",""label"":""Page Views"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Users__c"",""label"":""Users"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Page_Visits__c"",""label"":""Page Visits"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":6,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":""CM"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],AREA,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Views__c"",""label"":""Sum of Page Views"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""DOUBLE""},{""objectName"":""CustomerInfo__c"",""name"":""Users__c"",""label"":""Sum of Users"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS3"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Visits__c"",""label"":""Sum of Page Visits"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS4"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Account__r.Name"",""label"":""Count of Account Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS5"",""fieldType"":""TEXT""}]","AreaChart_5,1",,[],FALSE,Usage Data,Public,Chart
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":""CM"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false},{""summerizedBy"":null,""objectName"":""UsageData__c"",""name"":""Account__r.Name"",""label"":""Account Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""TEXT"",""stacked"":false}]",[],STACKED-COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""}]","StackedColumn_1,2",,[],FALSE,Usage Data,Public,Chart
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Page_Visits__c"",""label"":""Page Visits"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Users__c"",""label"":""Users"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":""CM"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],STACKED-BAR,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Visits__c"",""label"":""Sum of Page Visits"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""DOUBLE""},{""objectName"":""CustomerInfo__c"",""name"":""Users__c"",""label"":""Sum of Users"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS3"",""fieldType"":""DOUBLE""}]","StackedBar_3,1",,[],FALSE,Usage Data,Public,Chart
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Page_Visits__c"",""label"":""Page Visits"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Users__c"",""label"":""Users"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Page_Views__c"",""label"":""Page Views"",""displayOrder"":5,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":""CM"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],STACKED-BAR,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Visits__c"",""label"":""Sum of Page Visits"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""DOUBLE""},{""objectName"":""CustomerInfo__c"",""name"":""Users__c"",""label"":""Sum of Users"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS3"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Views__c"",""label"":""Sum of Page Views"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS4"",""fieldType"":""DOUBLE""}]","StackedBar_4,1",,[],FALSE,Usage Data,Public,Chart
"[{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,Alert__c,,"[{""value"":""@@CURRENTUSER"",""objectName"":""Alert__c"",""fieldType"":""REFERENCE"",""logicalOperator"":""AND"",""referenceTo"":""User"",""name"":""CreatedById"",""operator"":""e""}]",,TRUE,TRUE,FALSE,,test_one_two_three,,[],FALSE,Alerts,Public,List
"[{""name"":""ASV__c"",""label"":""Alert ASV"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,Alert__c,"[{""summerizedBy"":null,""objectName"":""Alert__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""Alert__c"",""name"":""ASV__c"",""label"":""Sum of Alert ASV"",""graphType"":""LINE"",""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""}]",test_one,,[],FALSE,Alerts,Public,Chart
"[{""name"":""Industry"",""label"":""Industry"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CustomerInfo__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""Industry"",""label"":""Industry"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""PICKLIST"",""stacked"":false}]",[],LIST,TRUE,TRUE,FALSE,"[{""objectName"":""CustomerInfo__c"",""name"":""CustomerName__c"",""label"":""Count of Customer Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""STRING""},{""objectName"":""CustomerInfo__c"",""name"":""ASV__c"",""label"":""Sum of ASV"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""CURRENCY""},{""objectName"":""Account"",""name"":""Customer_Temp__c"",""label"":""Count of Customer Temp"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS3"",""fieldType"":""PICKLIST""}]",MyReport001,,[],FALSE,Customers,Public,Chart
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Page_Views__c"",""label"":""Page Views"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":null,""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":""COLUMN"",""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Views__c"",""label"":""Sum of Page Views"",""graphType"":""LINE"",""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""DOUBLE""}]",SaveReport_Test,,[],FALSE,Usage Data,Public,Chart
"[{""name"":""Id"",""label"":""Id"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""ID"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""ChurnReason__r.Name"",""label"":""Churn Reason Name"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""CSM__r.Name"",""label"":""CSM Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false},{""summerizedBy"":null,""objectName"":""TransHeader__c"",""name"":""ChurnReason__r.Name"",""label"":""Churn Reason Name"",""groupable"":true,""aliasName"":""Cat2"",""fieldType"":""TEXT"",""stacked"":false}]","[{""value"":""('a0Ro00000018oEPEAY')"",""objectName"":""TransHeader__c"",""fieldType"":""CUSTOMLOOKUP"",""logicalOperator"":""AND"",""referenceTo"":""PickList__c"",""name"":""OrderType__c"",""operator"":""u"",""operatorLabel"":null}]",STACKED-COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""TransHeader__c"",""name"":""Id"",""label"":""Number of customers"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""ID""}]",Churn reason by CSM,,[],FALSE,Transactions,Public,Chart
"[{""name"":""ASV__c"",""label"":""Alert ASV"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""MRR__c"",""label"":""Alert MRR"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Alert__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,Alert__c,"[{""summerizedBy"":null,""objectName"":""Alert__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""Alert__c"",""name"":""ASV__c"",""label"":""Sum of Alert ASV"",""graphType"":""LINE"",""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""},{""objectName"":""Alert__c"",""name"":""MRR__c"",""label"":""Sum of Alert MRR"",""graphType"":""COLUMN"",""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""CURRENCY""}]",prad_sumesh_test,,[],FALSE,Alerts,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Active__c"",""label"":""Active"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Industry"",""label"":""Industry"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false}]",ParentId,Account,,[],,TRUE,TRUE,FALSE,,t,,[],FALSE,Account,Public,List
"[{""name"":""No_of_Report_Run__c"",""label"":""No of Report Run"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Page_Visits__c"",""label"":""Page Visits"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DOUBLE"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Date__c"",""label"":""Date"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""UsageData__c"",""fieldType"":""DATE"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,UsageData__c,"[{""summerizedBy"":""CQ"",""objectName"":""UsageData__c"",""name"":""Date__c"",""label"":""Date"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""DATE"",""stacked"":false}]",[],COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""UsageData__c"",""name"":""No_of_Report_Run__c"",""label"":""Sum of No of Report Run"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""DOUBLE""},{""objectName"":""UsageData__c"",""name"":""Page_Visits__c"",""label"":""Sum of Page Visits"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""DOUBLE""}]",Report_Save_332PM,,[],FALSE,Usage Data,Public,Chart
"[{""name"":""Name"",""label"":""Call To Action Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Type__r.Name"",""label"":""CTA Type Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CTA__c,"[{""summerizedBy"":null,""objectName"":""CTA__c"",""name"":""Type__r.Name"",""label"":""CTA Type Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""CTA__c"",""name"":""Name"",""label"":""Count of Call To Action Name"",""graphType"":""COLUMN"",""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""STRING""}]",CTA _Report Name,,[],FALSE,CTA,Public,Chart
"[{""name"":""Checkbox_DT__c"",""label"":""Checkbox_DT"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CTA__c"",""fieldType"":""BOOLEAN"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CTA__c,,"[{""value"":true,""objectName"":""CTA__c"",""fieldType"":""BOOLEAN"",""logicalOperator"":""AND"",""name"":""Checkbox_DT__c"",""operator"":""n""}]",,TRUE,TRUE,FALSE,,SaveCheckbox,,[],FALSE,CTA,Public,List
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Active__c"",""label"":""Active"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Industry"",""label"":""Industry"",""displayOrder"":4,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false}]",ParentId,Account,,[],,TRUE,TRUE,FALSE,,a0zo0000000r2Wygffhghfghhffhgfh,,[],FALSE,Account,Public,List
"[{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,,[],,TRUE,TRUE,FALSE,,Txns_ListView,,[],FALSE,Transactions,Public,List
"[{""name"":""BillingCity"",""label"":""Billing City"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Name"",""label"":""Account Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false}]",ParentId,Account,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""BillingCity"",""label"":""Billing City"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""STRING"",""stacked"":false}]",[],COLUMN,TRUE,TRUE,FALSE,"[{""objectName"":""Account"",""name"":""Name"",""label"":""Count of Account Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""STRING""}]",Report1,,[],FALSE,Account,Public,Chart
"[{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Industry"",""label"":""Industry"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CustomerInfo__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""Industry"",""label"":""Industry"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""PICKLIST"",""stacked"":false}]",[],TABLE,TRUE,TRUE,FALSE,"[{""objectName"":""CustomerInfo__c"",""name"":""Account__r.Name"",""label"":""Count of Account Name"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""TEXT""}]",GOVI,,[],FALSE,Customers,Public,Chart
"[{""name"":""ASVTotal__c"",""label"":""ASV"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""OrderType__r.Name"",""label"":""Booking Type Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""TransHeader__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,"[{""summerizedBy"":null,""objectName"":""TransHeader__c"",""name"":""OrderType__r.Name"",""label"":""Booking Type Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],TABLE,TRUE,TRUE,FALSE,"[{""objectName"":""TransHeader__c"",""name"":""ASVTotal__c"",""label"":""Sum of ASV"",""graphType"":null,""aggType"":""SUM"",""aliasName"":""DS1"",""fieldType"":""CURRENCY""}]",Test repo,,[],FALSE,Transactions,Public,Chart
"[{""name"":""Account__r.Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""ASV__c"",""label"":""ASV"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""CustomerInfo__c"",""fieldType"":""CURRENCY"",""isGroupable"":false,""hasJBCXMNS"":false},{""name"":""Industry"",""label"":""Industry"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""PICKLIST"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,CustomerInfo__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""Industry"",""label"":""Industry"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""PICKLIST"",""stacked"":false}]",[],,TRUE,TRUE,FALSE,"[{""objectName"":""CustomerInfo__c"",""name"":""Account__r.Name"",""label"":""Count of Account Name"",""graphType"":""COLUMN"",""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""TEXT""},{""objectName"":""CustomerInfo__c"",""name"":""ASV__c"",""label"":""Sum of ASV"",""graphType"":""LINE"",""aggType"":""SUM"",""aliasName"":""DS2"",""fieldType"":""CURRENCY""}]",Customers_FieldLevelVisiualizations,,[],FALSE,Customers,Public,Chart
"[{""name"":""Name"",""label"":""Account Name"",""displayOrder"":1,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""STRING"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""CSM__r.Name"",""label"":""CSM Name"",""displayOrder"":2,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""TEXT"",""isGroupable"":true,""hasJBCXMNS"":false},{""name"":""Id"",""label"":""Id"",""displayOrder"":3,""visibilityMode"":true,""objectName"":""Account"",""fieldType"":""ID"",""isGroupable"":true,""hasJBCXMNS"":false}]",Account__c,TransHeader__c,"[{""summerizedBy"":null,""objectName"":""Account"",""name"":""CSM__r.Name"",""label"":""CSM Name"",""groupable"":true,""aliasName"":""Cat1"",""fieldType"":""TEXT"",""stacked"":false}]",[],PIE,TRUE,TRUE,FALSE,"[{""objectName"":""Account"",""name"":""Id"",""label"":""# of customers"",""graphType"":null,""aggType"":""COUNT"",""aliasName"":""DS1"",""fieldType"":""ID""}]",Save this report,,"[{""value"":""JBnext120"",""objectName"":""TransHeader__c"",""fieldType"":""TIMEFRAMENORMALDATE"",""logicalOperator"":""AND"",""fieldName"":""NextRenewalDate__c"",""ctrlType"":""timeframe"",""ctrlData"":""[]"",""operatorsList"":""[{\""key\"":\""\"",\""value\"":\""None\""},{\""key\"":\""e\"",\""value\"":\""equals\""},{\""key\"":\""n\"",\""value\"":\""not equal to\""},{\""key\"":\""l\"",\""value\"":\""less than\""},{\""key\"":\""g\"",\""value\"":\""greater than\""},{\""key\"":\""m\"",\""value\"":\""less or equal\""},{\""key\"":\""h\"",\""value\"":\""greater or equal\""}]"",""selectedOperator"":""e"",""label"":""Renewal Date""}]",FALSE,Transactions,Public,Chart
