AccountName,Industry,ProductCode,ProductName,Date,EventTimeStamp,Active,Page Views,Page Visits,Files Downloaded,No of Reports Run,No of Rules Triggered,No of Schedules Created
Daisy of California,Technology,CODE008,Microsoft Excel,2,2,TRUE,29,188,3,201,82,29
Daley Business Forms,Chemicals,CODE009,Microsfot PowerPoint,2,2,FALSE,43,132,4,56,559,20
Dame Belts & Bag Co Inc,Manufacturing,CODE010,Outlook,2,2,TRUE,56,133,3,235,152,16
Dana Marketing Inc,Finance,CODE011,Windows Server,2,2,FALSE,31,176,4,117,51,44
Dickenson plc,Consulting,CODE012,Amazon EC2 Server,2,2,TRUE,53,113,5,143,546,46
East Bay Brass Foundry,Government,CODE013,Cloud Computing,2,2,FALSE,99,134,5,356,711,20
East Coast Traders,Manufacturing,CODE014,SAP,2,2,TRUE,66,127,3,446,538,46
East/West Computers Inc,Shipping,CODE015,Online Meetings,2,2,FALSE,30,192,3,237,338,45
Eastern Municipal Water Distri,Food & Beverage,CODE001,Microsoft Word,2,2,TRUE,1,129,0,93,899,32
Eastman Kodak Company Health Sciences Division,Healthcare,CODE002,Windows - OS,2,2,FALSE,48,125,4,72,843,35
Edge Communications,Electronics,CODE003,Antivirus,2,2,TRUE,72,163,5,433,677,33
Express Logistics and Transport,Transportation,CODE004,Networking - 2G,2,2,FALSE,30,192,2,428,648,19
Facts on File Newsletter,Apparel,CODE005,Networking - 3G,2,2,TRUE,80,166,3,430,367,42
Family Magazine,Service,CODE006,CRM,2,2,FALSE,39,130,2,469,145,11
Fedder RP Corp,"Television Cable, & Broadcast Network",CODE007,Marketing - Automation,2,2,FALSE,3,143,3,496,481,46
Fell David H & Company Inc,Finance,CODE008,Microsoft Excel,2,2,TRUE,25,147,4,467,208,23
Ferrara Foods & Confections,Manufacturing,CODE009,Microsfot PowerPoint,2,2,FALSE,35,110,0,108,732,46
G Group,Manufacturing,CODE010,Outlook,2,2,TRUE,99,122,1,438,690,29
G-L Veneer Co Inc.,Chemicals,CODE011,Windows Server,2,2,FALSE,33,119,2,331,308,12
Galbreath Co,Government,CODE012,Amazon EC2 Server,2,2,TRUE,72,129,5,269,507,41
Gallo Ernst & Julio Winery,Machinery,CODE013,Cloud Computing,2,2,FALSE,23,114,1,447,397,19
Gamblers Anonymous,Manufacturing,CODE014,SAP,2,2,TRUE,72,129,0,391,45,17
GenePoint,Biotechnology,CODE015,Online Meetings,2,2,FALSE,37,136,5,290,592,2
Grand Hotels & Resorts Ltd,Hospitality,CODE001,Microsoft Word,2,2,TRUE,70,197,1,182,1000,31
Halcyon Assoc,Education,CODE002,Windows - OS,2,2,FALSE,46,139,2,93,80,5
Hambro International Venture F,Medical & Dental Laboratories,CODE003,Antivirus,2,2,TRUE,42,169,4,58,606,28
Hardy James G & Co,Medical Products,CODE004,Networking - 2G,2,2,FALSE,94,150,1,326,816,4
Harkavy Information Service,Agriculture,CODE005,Networking - 3G,2,2,TRUE,71,120,1,285,806,46
Harken Marketing Co,Healthcare,CODE006,CRM,2,2,FALSE,0,153,4,216,101,44
IBIS Systems Inc.,Retail,CODE007,Marketing - Automation,2,2,TRUE,65,174,3,471,791,41
IBK Capital Inc,Service,CODE008,Microsoft Excel,2,2,FALSE,68,108,2,197,714,48
IBM Corp Data Systems Div,Fish & Seafood,CODE009,Microsfot PowerPoint,2,2,TRUE,74,131,3,76,541,12
ICM Corp,Finance,CODE010,Outlook,2,2,FALSE,18,184,3,395,378,23
ImageTek Corp,Education,CODE011,Windows Server,2,2,FALSE,86,159,3,265,360,50
Jadow B & Sons Inc,Manufacturing,CODE012,Amazon EC2 Server,2,2,TRUE,10,193,2,141,192,11
Jaff Brothers Woodworks Inc,Food & Beverage,CODE013,Cloud Computing,2,2,FALSE,15,130,1,166,498,27
Jandel Scientific Inc.,Retail,CODE014,SAP,2,2,TRUE,2,143,5,125,539,22
Japanese American Citizens Lea,Industrial Manufacturing & Services,CODE015,Online Meetings,2,2,FALSE,8,160,4,401,924,17
K & S Contractors Supply Co,Insurance,CODE001,Microsoft Word,2,2,TRUE,38,181,4,238,561,26
Kahlert Assoc Inc,Healthcare,CODE002,Windows - OS,2,2,FALSE,23,151,4,178,778,41
Kaiser Steel Resources Inc,Retail,CODE003,Antivirus,2,2,TRUE,13,112,0,30,772,32
Karabelas Furs Inc,Healthcare,CODE004,Networking - 2G,2,2,FALSE,96,160,5,155,411,49
Karpen & Steel Products Inc,Manufacturing,CODE005,Networking - 3G,2,2,TRUE,80,108,0,260,616,49
La Costa Hotel & Spa,Utilities,CODE006,CRM,2,2,FALSE,20,126,1,454,558,2
Lafferty RF & Co Inc,Engineering,CODE007,Marketing - Automation,2,2,TRUE,92,136,2,92,965,4
Lake County,Oil & Gas & Energy,CODE008,Microsoft Excel,2,2,FALSE,92,161,4,391,755,20
Lakeland Village,Service,CODE009,Microsfot PowerPoint,2,2,TRUE,42,189,5,308,581,36
Lexidata Corporation,Hospitality,CODE010,Outlook,2,2,FALSE,53,127,5,393,917,7
Madonna Construction Co,Retail,CODE011,Windows Server,2,2,TRUE,7,185,5,151,370,8
Magma Power Co,Non-profit,CODE012,Amazon EC2 Server,2,2,FALSE,86,146,2,235,956,43
Magna Mill Products,Food & Beverage,CODE013,Cloud Computing,2,2,TRUE,30,104,5,479,184,18
Majestic Entertainment,Agriculture,CODE014,SAP,2,2,FALSE,34,122,1,224,101,23
Mall Side Sports,Finance,CODE015,Online Meetings,2,2,FALSE,13,139,0,322,917,33
N/S Corp,Oil & Gas Exploration & Production,CODE001,Microsoft Word,2,2,TRUE,55,108,4,106,554,4
Nardon Mfg Company Incorporated,Manufacturing,CODE002,Windows - OS,2,2,FALSE,10,109,2,449,83,30
Nash Direct,Manufacturing,CODE003,Antivirus,2,2,TRUE,49,136,1,128,810,21
National Assn of Printing Ink,Manufacturing,CODE004,Networking - 2G,2,2,FALSE,5,117,4,207,564,16
Nixdorf Computer,Government,CODE005,Networking - 3G,2,2,TRUE,48,186,5,253,507,40
O-Cel-O Div General Mills Inc.,Service,CODE006,CRM,2,2,FALSE,54,169,5,68,181,4
Oakland Carbide Engineering &,Healthcare,CODE007,Marketing - Automation,2,2,TRUE,15,158,1,130,889,11
Ocean Sports,Manufacturing,CODE008,Microsoft Excel,2,2,FALSE,5,148,0,246,197,11
Ocean Sports Wear,Consumer Services,CODE009,Microsfot PowerPoint,2,2,TRUE,23,169,5,122,316,22
OKeeffes Inc,Manufacturing,CODE010,Outlook,2,2,FALSE,74,189,2,198,197,14
P & C Food Markets Inc,Hospitality,CODE011,Windows Server,2,2,TRUE,19,135,3,54,386,19
P.S.C.,Consulting,CODE012,Amazon EC2 Server,2,2,FALSE,8,159,2,182,191,47
PacDevco Inc,Telecommunications,CODE013,Cloud Computing,2,2,TRUE,44,166,2,435,352,49
Pace Press Inc,Hospitality,CODE014,SAP,2,2,FALSE,8,163,5,204,746,16
Purity-Supreme Inc.,Manufacturing,CODE015,Online Meetings,2,2,TRUE,54,169,1,365,698,38
Pyramid Construction Inc.,Construction,CODE001,Microsoft Word,2,2,FALSE,100,187,3,324,439,35
Quadrex Corp,Telecommunications,CODE002,Windows - OS,2,2,TRUE,20,131,5,272,927,2
Quaker Fashions,Healthcare,CODE003,Antivirus,2,2,FALSE,38,187,1,357,85,8
Queensborough Public Library,Manufacturing,CODE004,Networking - 2G,2,2,FALSE,29,198,5,331,301,36
Quinn/Brein Inc,Manufacturing,CODE005,Networking - 3G,2,2,TRUE,90,164,1,301,532,8
Quota Systems Inc.,Construction,CODE006,CRM,2,2,FALSE,36,114,4,270,851,47
R-F Industries Inc,Bakery Products,CODE007,Marketing - Automation,2,2,TRUE,36,100,4,57,844,14
Raceway Engines,Technology,CODE008,Microsoft Excel,2,2,FALSE,61,176,4,321,942,50
Raleigh Active Wear,Manufacturing,CODE009,Microsfot PowerPoint,2,2,TRUE,91,175,3,411,32,37
Raleigh Co.,Technology,CODE010,Outlook,2,2,FALSE,31,173,5,425,468,15
Ralston Inc.,Transportation,CODE011,Windows Server,2,2,TRUE,37,123,4,318,513,38
Sabena-Belgian World Airlines,Manufacturing,CODE012,Amazon EC2 Server,2,2,FALSE,71,163,2,349,522,41
Safeway Plumbing & Heating Inc,Consulting,CODE013,Cloud Computing,2,2,TRUE,79,103,5,440,373,27
Saint Johns University Staten,Software & Programming,CODE014,SAP,2,2,FALSE,97,121,0,310,64,25
sForce,,CODE015,Online Meetings,2,2,TRUE,53,114,5,488,361,6
Star Markets,Food & Beverage,CODE001,Microsoft Word,2,2,FALSE,70,176,5,274,642,17
State House Active Wear,Service,CODE002,Windows - OS,2,2,TRUE,79,124,5,40,210,29
Tapecon Inc,Service,CODE003,Antivirus,2,2,FALSE,51,193,5,401,216,31
TDA Industries Inc,Medical Devices,CODE004,Networking - 2G,2,2,TRUE,63,124,2,309,21,0
TEAC Corp. of America,Service,CODE005,Networking - 3G,2,2,FALSE,38,139,1,33,761,44
Tech Fire & Safety Company,Biotechnology,CODE006,CRM,2,2,TRUE,55,101,2,334,644,44
Teradyne,Finance,CODE007,Marketing - Automation,2,2,FALSE,25,162,1,302,11,22
UBAF Arab American Bank,Hospitality,CODE008,Microsoft Excel,2,2,FALSE,88,113,5,226,905,39
UniAmerica Inc,Healthcare,CODE009,Microsfot PowerPoint,2,2,TRUE,12,114,0,337,844,9
Union Flights,Technology,CODE010,Outlook,2,2,FALSE,48,128,0,371,927,10
United Artists Theater Circuit,Service,CODE011,Windows Server,2,2,TRUE,71,100,4,386,596,40
United Can Co.,Government,CODE012,Amazon EC2 Server,2,2,FALSE,42,164,5,65,775,7
United Oil & Gas Corp.,Energy,CODE013,Cloud Computing,2,2,TRUE,80,163,4,307,791,0
"United Oil & Gas, Singapore",Energy,CODE014,SAP,2,2,FALSE,75,188,3,345,204,13
"United Oil & Gas, UK",Energy,CODE015,Online Meetings,2,2,TRUE,29,138,3,148,814,9
University of Arizona,Education,CODE001,Microsoft Word,2,2,FALSE,87,116,3,309,396,38
Veritas Software,Non-profit,CODE002,Windows - OS,2,2,TRUE,76,185,4,396,564,8
Via Systems,Telecommunications,CODE003,Antivirus,2,2,FALSE,73,169,2,72,876,47
Vicor,Non-profit,CODE004,Networking - 2G,2,2,TRUE,26,138,2,365,907,8
Volga Boats,Technology,CODE005,Networking - 3G,2,2,FALSE,49,179,4,48,652,18
Vyrex,Retail,CODE006,CRM,2,2,TRUE,64,196,5,257,85,33
Wallys World,Technology,CODE007,Marketing - Automation,2,2,FALSE,25,116,4,178,480,46
Westend Dealers,Service,CODE008,Microsoft Excel,2,2,TRUE,45,165,1,455,774,42
Westinghouse Corporation,Manufacturing,CODE009,Microsfot PowerPoint,2,2,FALSE,72,131,1,454,287,28
Wind & Rain,Others,CODE010,Outlook,2,2,TRUE,87,147,2,247,831,33
Wyse Corp.,Technology,CODE011,Windows Server,2,2,FALSE,70,167,5,334,106,5
Xerox,Others,CODE012,Amazon EC2 Server,2,2,FALSE,32,155,2,360,535,28
Yesterday Productions Corp.,Manufacturing,CODE013,Cloud Computing,2,2,TRUE,35,104,0,300,791,8
Ziff-Davis Labs,Manufacturing,CODE014,SAP,2,2,FALSE,74,195,3,249,650,9
Zoo Gift Shop,Manufacturing,CODE015,Online Meetings,2,2,TRUE,70,136,2,65,785,46
AAR Corp Hardware Abscoa Division,Distribution,CODE001,Microsoft Word,3,3,FALSE,73,197,5,482,382,29
Abacus Programming Corporation,Oil & Gas & Energy,CODE002,Windows - OS,3,3,TRUE,41,114,3,102,979,43
Abberley Kooiman,Technology,CODE003,Antivirus,3,3,FALSE,51,141,0,191,26,44
Abbett Electric Corp,Others,CODE004,Networking - 2G,3,3,TRUE,23,153,2,96,863,5
Abbey Press Inc,Manufacturing,CODE005,Networking - 3G,3,3,FALSE,74,175,5,62,842,19
Bachman Information System Inc.,Finance,CODE006,CRM,3,3,TRUE,37,143,3,477,794,48
Back Stage Magazine,Technology,CODE007,Marketing - Automation,3,3,FALSE,33,111,5,124,37,16
Baker & McKenzie,Technology,CODE008,Microsoft Excel,3,3,TRUE,65,151,4,21,326,27
Balfour Maclaine International,Healthcare,CODE009,Microsfot PowerPoint,3,3,FALSE,100,147,4,315,238,50
Ball & Socket Mfg Co,Chemicals,CODE010,Outlook,3,3,TRUE,51,143,0,99,581,33
Burlington Textiles Corp of America,Apparel,CODE011,Windows Server,3,3,FALSE,91,140,5,177,928,50
Caco-Pacific Corp.,Medical Equipment & Supplies,CODE012,Amazon EC2 Server,3,3,TRUE,23,146,2,470,746,34
CADAM Inc.,Manufacturing,CODE013,Cloud Computing,3,3,FALSE,0,135,5,218,957,16
Cadbury Beverages Div Cadbury,Healthcare,CODE014,SAP,3,3,TRUE,66,154,2,426,799,26
Cahn Instruments Inc,Retail,CODE015,Online Meetings,3,3,FALSE,2,192,0,360,21,48
Cal-Pac Roofing Inc,Energy,CODE001,Microsoft Word,3,3,FALSE,97,152,2,469,463,29
Dai-Ichi Kangyo Bank,Manufacturing,CODE002,Windows - OS,3,3,TRUE,14,109,3,264,773,2
Daisy of California,Technology,CODE003,Antivirus,3,3,FALSE,76,126,3,168,647,0
Daley Business Forms,Chemicals,CODE004,Networking - 2G,3,3,TRUE,93,156,5,500,311,4
Dame Belts & Bag Co Inc,Manufacturing,CODE005,Networking - 3G,3,3,FALSE,85,162,5,413,655,44
Dana Marketing Inc,Finance,CODE006,CRM,3,3,TRUE,84,156,5,143,901,3
Dickenson plc,Consulting,CODE007,Marketing - Automation,3,3,FALSE,39,176,0,144,747,29
East Bay Brass Foundry,Government,CODE008,Microsoft Excel,3,3,TRUE,80,188,3,65,736,16
East Coast Traders,Manufacturing,CODE009,Microsfot PowerPoint,3,3,FALSE,92,153,5,327,720,18
East/West Computers Inc,Shipping,CODE010,Outlook,3,3,TRUE,16,100,3,371,532,19
Eastern Municipal Water Distri,Food & Beverage,CODE011,Windows Server,3,3,FALSE,85,159,1,147,1000,18
Eastman Kodak Company Health Sciences Division,Healthcare,CODE012,Amazon EC2 Server,3,3,TRUE,46,125,0,479,301,16
Edge Communications,Electronics,CODE013,Cloud Computing,3,3,FALSE,70,118,2,401,746,36
Express Logistics and Transport,Transportation,CODE014,SAP,3,3,TRUE,63,131,1,270,908,5
Facts on File Newsletter,Apparel,CODE015,Online Meetings,3,3,FALSE,1,178,4,425,562,46
Family Magazine,Service,CODE001,Microsoft Word,3,3,TRUE,53,177,5,26,117,37
Fedder RP Corp,"Television Cable, & Broadcast Network",CODE002,Windows - OS,3,3,FALSE,7,186,4,211,829,46
Fell David H & Company Inc,Finance,CODE003,Antivirus,3,3,TRUE,27,176,5,73,928,2
Ferrara Foods & Confections,Manufacturing,CODE004,Networking - 2G,3,3,FALSE,33,123,1,217,601,49
G Group,Manufacturing,CODE005,Networking - 3G,3,3,FALSE,6,165,4,389,775,11
G-L Veneer Co Inc.,Chemicals,CODE006,CRM,3,3,TRUE,53,151,4,455,9,48
Galbreath Co,Government,CODE007,Marketing - Automation,3,3,FALSE,60,161,3,81,375,42
Gallo Ernst & Julio Winery,Machinery,CODE008,Microsoft Excel,3,3,TRUE,45,177,4,111,997,38
Gamblers Anonymous,Manufacturing,CODE009,Microsfot PowerPoint,3,3,FALSE,76,113,5,238,789,7
GenePoint,Biotechnology,CODE010,Outlook,3,3,TRUE,80,158,4,189,79,4
Grand Hotels & Resorts Ltd,Hospitality,CODE011,Windows Server,3,3,FALSE,37,116,3,482,106,32
Halcyon Assoc,Education,CODE012,Amazon EC2 Server,3,3,TRUE,41,177,4,115,654,12
Hambro International Venture F,Medical & Dental Laboratories,CODE013,Cloud Computing,3,3,FALSE,25,184,4,452,877,3
Hardy James G & Co,Medical Products,CODE014,SAP,3,3,TRUE,16,148,0,101,180,21
Harkavy Information Service,Agriculture,CODE015,Online Meetings,3,3,FALSE,5,188,5,273,206,32
Harken Marketing Co,Healthcare,CODE001,Microsoft Word,3,3,TRUE,67,195,2,474,210,12
IBIS Systems Inc.,Retail,CODE002,Windows - OS,3,3,FALSE,78,107,5,190,936,25
IBK Capital Inc,Service,CODE003,Antivirus,3,3,TRUE,94,198,5,491,691,9
IBM Corp Data Systems Div,Fish & Seafood,CODE004,Networking - 2G,3,3,FALSE,8,190,1,163,548,6
ICM Corp,Finance,CODE005,Networking - 3G,3,3,TRUE,78,114,4,27,294,30
ImageTek Corp,Education,CODE006,CRM,3,3,FALSE,17,161,2,221,714,44
Jadow B & Sons Inc,Manufacturing,CODE007,Marketing - Automation,3,3,TRUE,93,179,3,264,233,9
Jaff Brothers Woodworks Inc,Food & Beverage,CODE008,Microsoft Excel,3,3,FALSE,44,187,0,419,331,8
Jandel Scientific Inc.,Retail,CODE009,Microsfot PowerPoint,3,3,FALSE,14,169,2,476,270,7
Japanese American Citizens Lea,Industrial Manufacturing & Services,CODE010,Outlook,3,3,TRUE,84,196,3,386,257,26
K & S Contractors Supply Co,Insurance,CODE011,Windows Server,3,3,FALSE,20,136,1,369,269,45
Kahlert Assoc Inc,Healthcare,CODE012,Amazon EC2 Server,3,3,TRUE,10,132,5,267,706,48
Kaiser Steel Resources Inc,Retail,CODE013,Cloud Computing,3,3,FALSE,23,126,1,236,900,48
Karabelas Furs Inc,Healthcare,CODE014,SAP,3,3,TRUE,6,193,2,50,516,17
Karpen & Steel Products Inc,Manufacturing,CODE015,Online Meetings,3,3,FALSE,78,109,5,73,117,8
La Costa Hotel & Spa,Utilities,CODE001,Microsoft Word,3,3,TRUE,42,193,5,317,801,42
Lafferty RF & Co Inc,Engineering,CODE002,Windows - OS,3,3,FALSE,84,127,2,225,68,0
Lake County,Oil & Gas & Energy,CODE003,Antivirus,3,3,TRUE,68,101,2,493,593,37
Lakeland Village,Service,CODE004,Networking - 2G,3,3,FALSE,93,180,3,363,782,21
Lexidata Corporation,Hospitality,CODE005,Networking - 3G,3,3,TRUE,51,149,3,119,687,21
Madonna Construction Co,Retail,CODE006,CRM,3,3,FALSE,46,166,3,385,559,19
Magma Power Co,Non-profit,CODE007,Marketing - Automation,3,3,TRUE,51,132,3,384,199,25
Magna Mill Products,Food & Beverage,CODE008,Microsoft Excel,3,3,FALSE,65,167,0,150,65,49
Majestic Entertainment,Agriculture,CODE009,Microsfot PowerPoint,3,3,TRUE,1,131,5,438,881,3
Mall Side Sports,Finance,CODE010,Outlook,3,3,FALSE,52,155,5,41,132,7
N/S Corp,Oil & Gas Exploration & Production,CODE011,Windows Server,3,3,TRUE,87,141,5,131,593,0
Nardon Mfg Company Incorporated,Manufacturing,CODE012,Amazon EC2 Server,3,3,FALSE,4,113,0,285,803,40
Nash Direct,Manufacturing,CODE013,Cloud Computing,3,3,FALSE,61,130,1,36,353,25
National Assn of Printing Ink,Manufacturing,CODE014,SAP,3,3,TRUE,49,116,1,258,579,41
Nixdorf Computer,Government,CODE015,Online Meetings,3,3,FALSE,52,125,4,32,258,27
O-Cel-O Div General Mills Inc.,Service,CODE001,Microsoft Word,3,3,TRUE,40,170,4,141,691,9
Oakland Carbide Engineering &,Healthcare,CODE002,Windows - OS,3,3,FALSE,25,174,4,406,362,12
Ocean Sports,Manufacturing,CODE003,Antivirus,3,3,TRUE,87,101,0,344,559,4
Ocean Sports Wear,Consumer Services,CODE004,Networking - 2G,3,3,FALSE,60,157,5,141,973,9
OKeeffes Inc,Manufacturing,CODE005,Networking - 3G,3,3,TRUE,19,133,1,264,179,28
P & C Food Markets Inc,Hospitality,CODE006,CRM,3,3,FALSE,55,145,4,252,659,32
P.S.C.,Consulting,CODE007,Marketing - Automation,3,3,TRUE,29,123,0,498,720,12
PacDevco Inc,Telecommunications,CODE008,Microsoft Excel,3,3,FALSE,73,109,5,319,81,23
Pace Press Inc,Hospitality,CODE009,Microsfot PowerPoint,3,3,TRUE,58,145,3,187,123,9
Purity-Supreme Inc.,Manufacturing,CODE010,Outlook,3,3,FALSE,49,165,2,388,354,21
Pyramid Construction Inc.,Construction,CODE011,Windows Server,3,3,TRUE,90,172,4,145,410,0
Quadrex Corp,Telecommunications,CODE012,Amazon EC2 Server,3,3,FALSE,49,125,5,324,89,44
Quaker Fashions,Healthcare,CODE013,Cloud Computing,3,3,TRUE,99,159,5,186,216,22
Queensborough Public Library,Manufacturing,CODE014,SAP,3,3,FALSE,32,167,1,335,460,46
Quinn/Brein Inc,Manufacturing,CODE015,Online Meetings,3,3,TRUE,86,169,5,179,600,26
Quota Systems Inc.,Construction,CODE001,Microsoft Word,3,3,FALSE,78,196,4,457,659,37
R-F Industries Inc,Bakery Products,CODE002,Windows - OS,3,3,FALSE,98,179,3,105,332,0
Raceway Engines,Technology,CODE003,Antivirus,3,3,TRUE,71,113,2,493,550,36
Raleigh Active Wear,Manufacturing,CODE004,Networking - 2G,3,3,FALSE,98,106,2,362,321,4
Raleigh Co.,Technology,CODE005,Networking - 3G,3,3,TRUE,29,146,5,60,267,50
Ralston Inc.,Transportation,CODE006,CRM,3,3,FALSE,41,178,1,454,927,14
Sabena-Belgian World Airlines,Manufacturing,CODE007,Marketing - Automation,3,3,TRUE,29,167,1,36,21,29
Safeway Plumbing & Heating Inc,Consulting,CODE008,Microsoft Excel,3,3,FALSE,76,148,2,171,394,16
Saint Johns University Staten,Software & Programming,CODE009,Microsfot PowerPoint,3,3,TRUE,22,198,1,340,271,7
sForce,,CODE010,Outlook,3,3,FALSE,54,116,4,77,622,31
Star Markets,Food & Beverage,CODE011,Windows Server,3,3,TRUE,52,123,0,440,516,38
State House Active Wear,Service,CODE012,Amazon EC2 Server,3,3,FALSE,91,135,5,142,871,5
Tapecon Inc,Service,CODE013,Cloud Computing,3,3,TRUE,76,147,0,433,865,15
TDA Industries Inc,Medical Devices,CODE014,SAP,3,3,FALSE,61,142,0,32,636,48
TEAC Corp. of America,Service,CODE015,Online Meetings,3,3,TRUE,100,129,1,114,60,1
Tech Fire & Safety Company,Biotechnology,CODE001,Microsoft Word,3,3,FALSE,82,174,0,129,660,44
Teradyne,Finance,CODE002,Windows - OS,3,3,TRUE,38,190,4,90,152,40
UBAF Arab American Bank,Hospitality,CODE003,Antivirus,3,3,FALSE,43,119,3,75,72,49
UniAmerica Inc,Healthcare,CODE004,Networking - 2G,3,3,TRUE,6,106,0,230,333,1
Union Flights,Technology,CODE005,Networking - 3G,3,3,FALSE,8,117,0,169,965,35
United Artists Theater Circuit,Service,CODE006,CRM,3,3,FALSE,9,195,4,54,443,14
United Can Co.,Government,CODE007,Marketing - Automation,3,3,TRUE,92,177,1,439,422,8
United Oil & Gas Corp.,Energy,CODE008,Microsoft Excel,3,3,FALSE,86,101,1,426,318,6
"United Oil & Gas, Singapore",Energy,CODE009,Microsfot PowerPoint,3,3,TRUE,20,134,0,430,314,25
"United Oil & Gas, UK",Energy,CODE010,Outlook,3,3,FALSE,68,158,4,495,55,11
University of Arizona,Education,CODE011,Windows Server,3,3,TRUE,45,140,2,75,274,36
Veritas Software,Non-profit,CODE012,Amazon EC2 Server,3,3,FALSE,12,164,4,62,902,4
Via Systems,Telecommunications,CODE013,Cloud Computing,3,3,TRUE,38,161,5,488,66,38
Vicor,Non-profit,CODE014,SAP,3,3,FALSE,2,164,5,266,606,26
Volga Boats,Technology,CODE015,Online Meetings,3,3,TRUE,94,183,1,490,893,35
Vyrex,Retail,CODE001,Microsoft Word,3,3,FALSE,40,186,2,403,254,33
Wallys World,Technology,CODE002,Windows - OS,3,3,TRUE,18,181,0,499,15,18
Westend Dealers,Service,CODE003,Antivirus,3,3,FALSE,22,186,1,220,766,48
Westinghouse Corporation,Manufacturing,CODE004,Networking - 2G,3,3,TRUE,1,138,1,245,240,13
Wind & Rain,Others,CODE005,Networking - 3G,3,3,FALSE,91,177,3,474,472,38
Wyse Corp.,Technology,CODE006,CRM,3,3,TRUE,46,145,5,182,299,36
Xerox,Others,CODE007,Marketing - Automation,3,3,FALSE,74,156,3,186,130,14
Yesterday Productions Corp.,Manufacturing,CODE008,Microsoft Excel,3,3,TRUE,97,189,3,284,360,9
Ziff-Davis Labs,Manufacturing,CODE009,Microsfot PowerPoint,3,3,FALSE,30,174,5,469,354,47
Zoo Gift Shop,Manufacturing,CODE010,Outlook,3,3,FALSE,54,102,2,134,298,24
AAR Corp Hardware Abscoa Division,Distribution,CODE011,Windows Server,4,4,TRUE,60,168,4,454,237,20
Abacus Programming Corporation,Oil & Gas & Energy,CODE012,Amazon EC2 Server,4,4,FALSE,25,131,3,487,323,38
Abberley Kooiman,Technology,CODE013,Cloud Computing,4,4,TRUE,0,127,3,177,350,11
Abbett Electric Corp,Others,CODE014,SAP,4,4,FALSE,91,101,1,88,190,5
Abbey Press Inc,Manufacturing,CODE015,Online Meetings,4,4,TRUE,16,180,0,108,982,1
Bachman Information System Inc.,Finance,CODE001,Microsoft Word,4,4,FALSE,22,145,0,52,260,23
Back Stage Magazine,Technology,CODE002,Windows - OS,4,4,TRUE,3,116,3,38,621,18
Baker & McKenzie,Technology,CODE003,Antivirus,4,4,FALSE,15,168,3,284,322,35
Balfour Maclaine International,Healthcare,CODE004,Networking - 2G,4,4,TRUE,44,129,1,113,374,9
Ball & Socket Mfg Co,Chemicals,CODE005,Networking - 3G,4,4,FALSE,1,188,3,72,245,16
Burlington Textiles Corp of America,Apparel,CODE006,CRM,4,4,TRUE,11,144,2,319,318,38
Caco-Pacific Corp.,Medical Equipment & Supplies,CODE007,Marketing - Automation,4,4,FALSE,99,199,2,179,676,44
CADAM Inc.,Manufacturing,CODE008,Microsoft Excel,4,4,TRUE,78,192,0,229,134,1
Cadbury Beverages Div Cadbury,Healthcare,CODE009,Microsfot PowerPoint,4,4,FALSE,54,161,5,321,997,49
Cahn Instruments Inc,Retail,CODE010,Outlook,4,4,TRUE,93,192,4,187,793,41
Cal-Pac Roofing Inc,Energy,CODE011,Windows Server,4,4,FALSE,29,106,2,335,922,20
Dai-Ichi Kangyo Bank,Manufacturing,CODE012,Amazon EC2 Server,4,4,TRUE,49,144,0,148,283,24
Daisy of California,Technology,CODE013,Cloud Computing,4,4,FALSE,9,172,5,364,611,38
Daley Business Forms,Chemicals,CODE014,SAP,4,4,FALSE,56,116,0,15,401,31
Dame Belts & Bag Co Inc,Manufacturing,CODE015,Online Meetings,4,4,TRUE,24,100,3,263,306,45
Dana Marketing Inc,Finance,CODE001,Microsoft Word,4,4,FALSE,16,187,5,318,895,28
Dickenson plc,Consulting,CODE002,Windows - OS,4,4,TRUE,81,198,4,32,377,10
East Bay Brass Foundry,Government,CODE003,Antivirus,4,4,FALSE,24,177,5,314,67,42
East Coast Traders,Manufacturing,CODE004,Networking - 2G,4,4,TRUE,3,195,0,438,446,17
East/West Computers Inc,Shipping,CODE005,Networking - 3G,4,4,FALSE,75,115,1,293,133,16
Eastern Municipal Water Distri,Food & Beverage,CODE006,CRM,4,4,TRUE,48,173,0,121,637,42
Eastman Kodak Company Health Sciences Division,Healthcare,CODE007,Marketing - Automation,4,4,FALSE,46,112,0,381,36,8
Edge Communications,Electronics,CODE008,Microsoft Excel,4,4,TRUE,35,200,3,202,346,36
Express Logistics and Transport,Transportation,CODE009,Microsfot PowerPoint,4,4,FALSE,76,192,1,255,851,14
Facts on File Newsletter,Apparel,CODE010,Outlook,4,4,TRUE,73,170,5,382,656,21
Family Magazine,Service,CODE011,Windows Server,4,4,FALSE,74,142,0,474,873,17
Fedder RP Corp,"Television Cable, & Broadcast Network",CODE012,Amazon EC2 Server,4,4,TRUE,46,159,3,62,208,44
Fell David H & Company Inc,Finance,CODE013,Cloud Computing,4,4,FALSE,21,178,3,434,929,21
Ferrara Foods & Confections,Manufacturing,CODE014,SAP,4,4,TRUE,87,162,4,432,293,17
G Group,Manufacturing,CODE015,Online Meetings,4,4,FALSE,12,165,0,81,419,0
