"Customer","Stage","Status","Comments","OriginalContractDate__c","NextRenewalDate__c"
"Test acc 1115","stage2","ActiveCustomer","Test acc 1115 - stage2 - ActiveCustomer","2010-08-10","2014-02-14"
"Test acc 1116","stage3","InactiveCustomer","Test acc 1116 - stage3 - InactiveCustomer","2010-09-10","2014-02-14"
"Test acc 1117","stage4","ActiveCustomer","Test acc 1117 - stage4 - ActiveCustomer","2010-10-10","2014-02-14"
"Test acc 1118","stage5","InactiveCustomer","Test acc 1118 - stage5 - InactiveCustomer","2010-11-10","2014-02-14"
"Test acc 1119","stage6","ActiveCustomer","Test acc 1119 - stage6 - ActiveCustomer","2010-12-10","2014-02-14"
"Test acc 112","stage1","InactiveCustomer","Test acc 112 - stage1 - InactiveCustomer","2010-01-10","2014-02-14"
"Test acc 1120","stage2","ActiveCustomer","Test acc 1120 - stage2 - ActiveCustomer","2010-02-10","2014-02-14"
"Test acc 1121","stage3","InactiveCustomer","Test acc 1121 - stage3 - InactiveCustomer","2010-03-10","2014-02-14"
"Test acc 1122","stage4","ActiveCustomer","Test acc 1122 - stage4 - ActiveCustomer","2010-04-10","2014-02-14"
"Test acc 1123","stage5","InactiveCustomer","Test acc 1123 - stage5 - InactiveCustomer","2010-05-10","2014-02-14"
"Test acc 1124","stage6","ActiveCustomer","Test acc 1124 - stage6 - ActiveCustomer","2010-06-10","2014-02-14"
"Test acc 1125","stage1","InactiveCustomer","Test acc 1125 - stage1 - InactiveCustomer","2010-07-10","2014-02-14"
"Test acc 1126","stage2","ActiveCustomer","Test acc 1126 - stage2 - ActiveCustomer","2010-08-10","2014-02-14"
"Test acc 1127","stage3","InactiveCustomer","Test acc 1127 - stage3 - InactiveCustomer","2010-09-10","2014-02-14"
"Test acc 1128","stage4","ActiveCustomer","Test acc 1128 - stage4 - ActiveCustomer","2010-10-10","2014-02-14"
"Test acc 1129","stage5","InactiveCustomer","Test acc 1129 - stage5 - InactiveCustomer","2010-11-10","2014-02-14"
"Test acc 113","stage6","ActiveCustomer","Test acc 113 - stage6 - ActiveCustomer","2010-12-10","2014-02-14"
"Test acc 1130","stage1","InactiveCustomer","Test acc 1130 - stage1 - InactiveCustomer","2010-01-10","2014-02-14"
"Test acc 1131","stage2","ActiveCustomer","Test acc 1131 - stage2 - ActiveCustomer","2010-02-10","2014-02-14"
"Test acc 1132","stage3","InactiveCustomer","Test acc 1132 - stage3 - InactiveCustomer","2010-03-10","2014-02-14"
"Test acc 1133","stage4","ActiveCustomer","Test acc 1133 - stage4 - ActiveCustomer","2010-04-10","2014-02-14"
"Test acc 1134","stage5","InactiveCustomer","Test acc 1134 - stage5 - InactiveCustomer","2010-05-10","2014-02-14"
"Test acc 1135","stage6","ActiveCustomer","Test acc 1135 - stage6 - ActiveCustomer","2010-06-10","2014-02-14"
"Test acc 1136","stage1","InactiveCustomer","Test acc 1136 - stage1 - InactiveCustomer","2010-07-10","2014-02-14"
"Test acc 1137","stage2","ActiveCustomer","Test acc 1137 - stage2 - ActiveCustomer","2012-01-12","2014-02-14"
"Test acc 1138","stage3","InactiveCustomer","Test acc 1138 - stage3 - InactiveCustomer","2012-02-12","2014-02-14"
"Test acc 1139","stage4","ActiveCustomer","Test acc 1139 - stage4 - ActiveCustomer","2012-03-12","2014-02-14"
"Test acc 114","stage5","InactiveCustomer","Test acc 114 - stage5 - InactiveCustomer","2012-04-12","2014-02-14"
"Test acc 1140","stage6","ActiveCustomer","Test acc 1140 - stage6 - ActiveCustomer","2012-05-12","2014-02-14"
"Test acc 1141","stage1","InactiveCustomer","Test acc 1141 - stage1 - InactiveCustomer","2012-06-12","2014-02-14"
"Test acc 1142","stage2","ActiveCustomer","Test acc 1142 - stage2 - ActiveCustomer","2012-07-12","2014-02-14"
"Test acc 1143","stage3","InactiveCustomer","Test acc 1143 - stage3 - InactiveCustomer","2012-08-12","2014-02-14"
"Test acc 1144","stage4","ActiveCustomer","Test acc 1144 - stage4 - ActiveCustomer","2012-09-12","2014-02-14"
"Test acc 1145","stage5","InactiveCustomer","Test acc 1145 - stage5 - InactiveCustomer","2012-10-12","2014-02-14"
"Test acc 1146","stage6","ActiveCustomer","Test acc 1146 - stage6 - ActiveCustomer","2012-11-12","2014-02-14"
"Test acc 1147","stage1","InactiveCustomer","Test acc 1147 - stage1 - InactiveCustomer","2012-12-12","2014-02-14"
"Test acc 1148","stage2","ActiveCustomer","Test acc 1148 - stage2 - ActiveCustomer","2012-01-12","2014-02-14"
"Test acc 1149","stage3","InactiveCustomer","Test acc 1149 - stage3 - InactiveCustomer","2012-02-12","2014-02-14"
"Test acc 115","stage4","ActiveCustomer","Test acc 115 - stage4 - ActiveCustomer","2012-03-12","2014-02-14"
"Test acc 1150","stage5","InactiveCustomer","Test acc 1150 - stage5 - InactiveCustomer","2012-04-12","2014-02-14"
"Test acc 1151","stage6","ActiveCustomer","Test acc 1151 - stage6 - ActiveCustomer","2012-05-12","2014-02-14"
"Test acc 1152","stage1","InactiveCustomer","Test acc 1152 - stage1 - InactiveCustomer","2012-06-12","2014-02-14"
"Test acc 1153","stage2","ActiveCustomer","Test acc 1153 - stage2 - ActiveCustomer","2012-07-12","2014-02-14"
"Test acc 1154","stage3","InactiveCustomer","Test acc 1154 - stage3 - InactiveCustomer","2012-08-12","2014-02-14"
"Test acc 1155","stage4","ActiveCustomer","Test acc 1155 - stage4 - ActiveCustomer","2012-09-12","2014-02-14"
"Test acc 1156","stage5","InactiveCustomer","Test acc 1156 - stage5 - InactiveCustomer","2012-10-12","2014-02-14"
"Test acc 1157","stage6","ActiveCustomer","Test acc 1157 - stage6 - ActiveCustomer","2012-11-12","2014-02-14"
"Test acc 1158","stage1","InactiveCustomer","Test acc 1158 - stage1 - InactiveCustomer","2012-12-12","2014-02-14"
"Test acc 1159","stage2","ActiveCustomer","Test acc 1159 - stage2 - ActiveCustomer","2012-01-12","2014-02-14"
"Test acc 116","stage3","InactiveCustomer","Test acc 116 - stage3 - InactiveCustomer","2012-02-12","2014-02-14"
"Test acc 1160","stage4","ActiveCustomer","Test acc 1160 - stage4 - ActiveCustomer","2012-03-12","2014-02-14"
"Test acc 1161","stage5","InactiveCustomer","Test acc 1161 - stage5 - InactiveCustomer","2012-04-12","2014-02-14"
"Test acc 1162","stage6","ActiveCustomer","Test acc 1162 - stage6 - ActiveCustomer","2012-05-12","2014-02-14"
"Test acc 1163","stage1","InactiveCustomer","Test acc 1163 - stage1 - InactiveCustomer","2012-06-12","2014-02-14"
"Test acc 1164","stage2","ActiveCustomer","Test acc 1164 - stage2 - ActiveCustomer","2012-07-12","2014-02-14"
"Test acc 1165","stage3","InactiveCustomer","Test acc 1165 - stage3 - InactiveCustomer","2012-04-12","2014-02-14"
"Test acc 1166","stage4","ActiveCustomer","Test acc 1166 - stage4 - ActiveCustomer","2012-05-12","2014-02-14"
"Test acc 1167","stage5","InactiveCustomer","Test acc 1167 - stage5 - InactiveCustomer","2012-06-12","2014-02-14"
"Test acc 1168","stage6","ActiveCustomer","Test acc 1168 - stage6 - ActiveCustomer","2012-07-12","2014-02-14"
"Test acc 1169","stage1","InactiveCustomer","Test acc 1169 - stage1 - InactiveCustomer","2012-08-12","2014-02-14"
"Test acc 117","stage2","ActiveCustomer","Test acc 117 - stage2 - ActiveCustomer","2012-09-12","2014-02-14"
"Test acc 1170","stage3","InactiveCustomer","Test acc 1170 - stage3 - InactiveCustomer","2012-10-12","2014-02-14"
"Test acc 1171","stage4","ActiveCustomer","Test acc 1171 - stage4 - ActiveCustomer","2012-11-12","2014-02-14"
"Test acc 1172","stage5","InactiveCustomer","Test acc 1172 - stage5 - InactiveCustomer","2012-12-12","2014-02-14"
"Test acc 1173","stage6","ActiveCustomer","Test acc 1173 - stage6 - ActiveCustomer","2012-01-12","2014-02-14"
"Test acc 1174","stage1","InactiveCustomer","Test acc 1174 - stage1 - InactiveCustomer","2012-02-12","2014-02-14"
"Test acc 1175","stage2","ActiveCustomer","Test acc 1175 - stage2 - ActiveCustomer","2012-03-12","2014-02-14"
"Test acc 1176","stage3","InactiveCustomer","Test acc 1176 - stage3 - InactiveCustomer","2012-04-12","2014-02-14"
"Test acc 1177","stage4","ActiveCustomer","Test acc 1177 - stage4 - ActiveCustomer","2012-05-12","2014-02-14"
