TransHeader_ExternalId__c,JBCXM__ACCOUNT__R.Data_ExternalId__c,JBCXM__ASVTOTAL__C,JBCXM__ASV__C,JBCXM__CHURNREASON__r.Picklist_ExternalId__c,JBCXM__COMMENT__C,JBCXM__DATE__C,JBCXM__MRRTOTAL__C,JBCXM__MRR__C,JBCXM__MAIN__C,JBCXM__NAME__C,JBCXM__NEXTRENEWALDATE__C,JBCXM__ONETIMEREVENUE__C,JBCXM__ORDERTYPE__r.Picklist_ExternalId__c,JBCXM__ORIGINALCONTRACT__C,JBCXM__RENEWABLE__C,JBCXM__RENEWALSTATUS__C,JBCXM__REVRECENDDATE__C,JBCXM__REVRECSTARTDATE__C,JBCXM__TERM_FRACTIONAL__C,JBCXM__TERM__C,JBCXM__USERSTOTAL__C,JBCXM__USERS__C
a0i90000001JPRKAA4,Daisy of California,98400,0,,,2012-06-12,8200,0,TRUE,,2013-06-12,0,a0L9000000Ct9wYEAR,,TRUE,Open,2013-06-11,2012-06-12,12,0,50,5
a0i90000001JPTtAAO,Daisy of California,91200,91200,,,2012-07-23,7600,7600,TRUE,,2012-12-24,0,a0L9000000Ct9wREAR,,TRUE,Open,2012-12-23,2012-07-23,5.0597,0,75,75
a0i90000001JPVQAA4,Dana Marketing Inc,-28080,-28080,a0L9000000Ct9w0EAB,,2011-08-15,-2340,-2340,FALSE,,,0,a0L9000000Ct9wSEAR,,FALSE,Not renewable,,2011-08-15,,0,-20,-20
a0i90000001JPUwAAO,Dame Belts & Bag Co Inc,0,0,,,2012-10-18,0,0,FALSE,,2014-05-15,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2014-05-14,2012-10-18,18.8587,0,0,0
a0i90000001JPVGAA4,Dana Marketing Inc,3360,3360,,,2010-02-14,280,280,FALSE,,2010-09-28,1000,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-09-27,2010-02-14,7.4252,0,6,6
a0i90000001JPPOAA4,Dana Marketing Inc,28080,-1320,,,2010-09-27,2340,-110,TRUE,,2011-09-27,0,a0L9000000Ct9w8EAB,,TRUE,Open,2011-09-26,2010-09-27,12,0,20,0
a0i90000001JPRAAA4,Dame Belts & Bag Co Inc,30000,30000,,,2012-04-01,2500,2500,TRUE,,2013-04-01,1200,a0L9000000Ct9wREAR,,FALSE,Closed - Will not renew,2013-03-31,2012-04-01,12,0,20,20
a0i90000001JPUmAAO,Dame Belts & Bag Co Inc,0,0,,,2012-07-23,0,0,FALSE,,2013-07-04,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2013-07-03,2012-07-23,11.3678,0,0,0
a0i90000001JPVBAA4,Dana Marketing Inc,21840,21840,,,2009-09-28,1820,1820,TRUE,,2010-09-28,2700,a0L9000000Ct9wREAR,,TRUE,Closed - Renewed,2010-09-27,2009-09-28,12,0,9,9
a0i90000001JPV6AAO,Dame Belts & Bag Co Inc,57600,4644,,,2013-02-28,4800,387,TRUE,,2014-02-28,18300,a0L9000000Ct9wYEAR,,TRUE,Open,2014-02-27,2013-02-28,12,0,300,50
a0i90000001JPUrAAO,Dame Belts & Bag Co Inc,0,0,,,2012-09-14,0,0,FALSE,,2014-05-15,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2014-05-14,2012-09-14,19.9758,0,0,0
a0i90000001JPSCAA4,Cahn Instruments Inc,3720,120,,,2011-09-20,310,10,TRUE,,2012-09-27,0,a0L9000000Ct9wYEAR,,TRUE,Open,2012-09-26,2011-09-27,12,0,25,2
a0i90000001JPVLAA4,Dana Marketing Inc,4200,4200,,,2010-02-27,350,350,FALSE,,2010-09-28,0,a0L9000000Ct9wXEAR,,FALSE,Not renewable,2010-09-27,2010-02-27,6.9981,0,5,5
a0i90000001JPW4AAO,Daley Business Forms,-3000,-3000,,,2014-01-01,-250,-250,FALSE,,,0,a0L9000000Ct9vyEAB,,FALSE,Not renewable,,2014-01-01,,0,-2,-2
