Account,Name,Date,User,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-19,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,3640,3355,1094,3882
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-19,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,4233,1332,4219,2568
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-19,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,3088,4724,835,455
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-19,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,5234,3036,5445,3682
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 1,350,42,1679,331
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 2,3847,208,3639,751
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 3,2601,3107,1327,5056
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 4,1981,111,385,1312
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 5,2598,4774,1829,4002
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 6,4484,5415,1825,2618
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,1012,1086,1324,810
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,5072,1958,4734,2857
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,3372,1468,1478,3555
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-20,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,905,3694,839,2311
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 1,3298,4089,1788,2470
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 2,1333,3620,4012,5370
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 3,3420,5766,2113,2712
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 4,778,4736,5118,5326
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 5,5388,4923,2329,4070
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 6,4788,5861,196,3834
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,2783,5754,1268,5147
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,230,4464,303,608
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,5498,2714,4972,2309
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-21,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,4,2561,1921,843
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 1,877,4948,1363,1005
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 2,2236,3496,79,1365
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 3,4795,1544,2066,4597
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 4,3247,3931,4332,354
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 5,1177,348,27,1040
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 6,4757,2480,3502,4155
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,2355,81,3059,448
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,714,5466,5700,1803
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,2878,400,3274,1441
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-22,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,561,151,2231,2623
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 1,291,601,2674,2233
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 2,3156,514,4253,4750
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 3,5463,1975,4069,420
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 4,1962,2730,2043,487
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 5,3575,5906,4930,0
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 6,3835,591,3879,4366
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,4707,3457,2846,5851
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,828,2700,2838,1173
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,2876,2607,5113,4017
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-23,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,4373,4992,477,680
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 1,1425,5717,2102,701
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 2,3081,2893,5011,307
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 3,546,5371,5314,283
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 4,4777,5403,4035,4359
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 5,4086,2883,2412,3964
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 6,2256,4856,1412,3546
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,3409,2021,3545,3755
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,5617,5526,2543,1683
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,2011,5058,29,2115
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-24,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,447,3818,3659,2740
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 1,5951,19,2788,4240
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 2,4454,5042,5817,1481
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 3,4136,2743,5108,363
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 4,4312,3950,990,5170
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 5,1194,4625,4504,3816
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 6,3433,3057,3810,4587
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 7,2651,1075,25,2785
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 8,2933,1904,4088,4510
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 9,5511,3475,2904,4317
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,USERLEVEL,-25,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - User 10,628,5146,195,3968
Do not Use1,USERLEVEL,-1,Do not Use1 - User 1,4226,4143,1362,2204
Do not Use1,USERLEVEL,-1,Do not Use1 - User 2,4376,5358,3476,4039
Do not Use1,USERLEVEL,-1,Do not Use1 - User 3,1444,3763,4509,5559
Do not Use1,USERLEVEL,-1,Do not Use1 - User 4,69,4861,3002,4309
Do not Use1,USERLEVEL,-1,Do not Use1 - User 5,5295,1467,4385,1494
Do not Use1,USERLEVEL,-1,Do not Use1 - User 6,5762,2578,3227,4399
Do not Use1,USERLEVEL,-1,Do not Use1 - User 7,4690,4052,2202,5969
Do not Use1,USERLEVEL,-1,Do not Use1 - User 8,5526,1422,3146,5086
Do not Use1,USERLEVEL,-1,Do not Use1 - User 9,2654,1754,1550,1390
Do not Use1,USERLEVEL,-1,Do not Use1 - User 10,2866,4518,2742,4968
Do not Use1,USERLEVEL,-2,Do not Use1 - User 1,4303,2989,3258,2827
Do not Use1,USERLEVEL,-2,Do not Use1 - User 2,1088,2987,2723,399
Do not Use1,USERLEVEL,-2,Do not Use1 - User 3,1813,3048,2950,239
Do not Use1,USERLEVEL,-2,Do not Use1 - User 4,4011,3138,5090,624
Do not Use1,USERLEVEL,-2,Do not Use1 - User 5,3230,4859,3355,482
Do not Use1,USERLEVEL,-2,Do not Use1 - User 6,578,1899,149,2419
Do not Use1,USERLEVEL,-2,Do not Use1 - User 7,5085,2390,831,2873
Do not Use1,USERLEVEL,-2,Do not Use1 - User 8,3615,5709,1542,4804
Do not Use1,USERLEVEL,-2,Do not Use1 - User 9,2684,568,4084,2939
Do not Use1,USERLEVEL,-2,Do not Use1 - User 10,3894,5674,5849,3835
Do not Use1,USERLEVEL,-3,Do not Use1 - User 1,4450,1747,909,1352
Do not Use1,USERLEVEL,-3,Do not Use1 - User 2,3361,708,4532,4076
Do not Use1,USERLEVEL,-3,Do not Use1 - User 3,1654,3112,4210,4290
Do not Use1,USERLEVEL,-3,Do not Use1 - User 4,4799,2154,5365,5202
Do not Use1,USERLEVEL,-3,Do not Use1 - User 5,3868,3278,4775,5498
Do not Use1,USERLEVEL,-3,Do not Use1 - User 6,2256,841,1107,2973
Do not Use1,USERLEVEL,-3,Do not Use1 - User 7,4009,4890,5066,366
Do not Use1,USERLEVEL,-3,Do not Use1 - User 8,896,5218,1104,5674
Do not Use1,USERLEVEL,-3,Do not Use1 - User 9,5892,5413,877,5471
Do not Use1,USERLEVEL,-3,Do not Use1 - User 10,1041,667,5468,110
Do not Use1,USERLEVEL,-4,Do not Use1 - User 1,4326,3414,3972,2651
Do not Use1,USERLEVEL,-4,Do not Use1 - User 2,2001,2976,1282,1549
Do not Use1,USERLEVEL,-4,Do not Use1 - User 3,2737,2418,1717,552
Do not Use1,USERLEVEL,-4,Do not Use1 - User 4,5692,326,5763,3913
Do not Use1,USERLEVEL,-4,Do not Use1 - User 5,1064,1963,3008,771
Do not Use1,USERLEVEL,-4,Do not Use1 - User 6,5438,1834,1962,4766
Do not Use1,USERLEVEL,-4,Do not Use1 - User 7,4802,5039,5681,3981
Do not Use1,USERLEVEL,-4,Do not Use1 - User 8,2453,3865,821,5242
Do not Use1,USERLEVEL,-4,Do not Use1 - User 9,864,6,605,5162
Do not Use1,USERLEVEL,-4,Do not Use1 - User 10,2515,5754,1430,2544
Do not Use1,USERLEVEL,-5,Do not Use1 - User 1,2883,5163,4843,2649
Do not Use1,USERLEVEL,-5,Do not Use1 - User 2,3058,1384,4578,233
Do not Use1,USERLEVEL,-5,Do not Use1 - User 3,1849,4546,1647,3027
Do not Use1,USERLEVEL,-5,Do not Use1 - User 4,2994,4017,3890,48
Do not Use1,USERLEVEL,-5,Do not Use1 - User 5,3639,1535,5304,209
Do not Use1,USERLEVEL,-5,Do not Use1 - User 6,3195,3843,5976,526
Do not Use1,USERLEVEL,-5,Do not Use1 - User 7,1337,1557,949,5548
Do not Use1,USERLEVEL,-5,Do not Use1 - User 8,2318,1076,1911,3707
Do not Use1,USERLEVEL,-5,Do not Use1 - User 9,1463,1630,3262,2996
Do not Use1,USERLEVEL,-5,Do not Use1 - User 10,5627,1084,2916,1601
Do not Use1,USERLEVEL,-6,Do not Use1 - User 1,1423,4771,3495,379
Do not Use1,USERLEVEL,-6,Do not Use1 - User 2,5576,3736,2844,3419
Do not Use1,USERLEVEL,-6,Do not Use1 - User 3,858,4945,5043,2714
Do not Use1,USERLEVEL,-6,Do not Use1 - User 4,2510,4943,5885,3407
Do not Use1,USERLEVEL,-6,Do not Use1 - User 5,669,1447,2476,5771
Do not Use1,USERLEVEL,-6,Do not Use1 - User 6,3973,417,5815,2281
Do not Use1,USERLEVEL,-6,Do not Use1 - User 7,2531,5145,3896,116
Do not Use1,USERLEVEL,-6,Do not Use1 - User 8,1407,5235,1683,4982
Do not Use1,USERLEVEL,-6,Do not Use1 - User 9,3329,370,4889,4636
Do not Use1,USERLEVEL,-6,Do not Use1 - User 10,2551,5114,4154,1765
Do not Use1,USERLEVEL,-7,Do not Use1 - User 1,175,5960,1549,3338
Do not Use1,USERLEVEL,-7,Do not Use1 - User 2,5291,727,1314,588
Do not Use1,USERLEVEL,-7,Do not Use1 - User 3,3760,553,3288,2859
Do not Use1,USERLEVEL,-7,Do not Use1 - User 4,1165,4870,4400,5060
Do not Use1,USERLEVEL,-7,Do not Use1 - User 5,2663,576,2396,1988
Do not Use1,USERLEVEL,-7,Do not Use1 - User 6,1263,6000,341,1141
Do not Use1,USERLEVEL,-7,Do not Use1 - User 7,4858,3308,3267,182
Do not Use1,USERLEVEL,-7,Do not Use1 - User 8,1319,168,4080,1721
Do not Use1,USERLEVEL,-7,Do not Use1 - User 9,5543,4976,3893,2481
Do not Use1,USERLEVEL,-7,Do not Use1 - User 10,3720,337,5727,3457
Do not Use1,USERLEVEL,-8,Do not Use1 - User 1,715,1573,3933,527
Do not Use1,USERLEVEL,-8,Do not Use1 - User 2,3240,3454,5794,3867
Do not Use1,USERLEVEL,-8,Do not Use1 - User 3,1461,4893,2170,209
Do not Use1,USERLEVEL,-8,Do not Use1 - User 4,3499,3878,1770,4309
Do not Use1,USERLEVEL,-8,Do not Use1 - User 5,2391,40,880,1986
Do not Use1,USERLEVEL,-8,Do not Use1 - User 6,140,2286,106,4850
Do not Use1,USERLEVEL,-8,Do not Use1 - User 7,1776,4391,5318,5373
Do not Use1,USERLEVEL,-8,Do not Use1 - User 8,5424,543,2300,4670
Do not Use1,USERLEVEL,-8,Do not Use1 - User 9,2339,3654,2382,1337
Do not Use1,USERLEVEL,-8,Do not Use1 - User 10,2153,133,5324,2135
Do not Use1,USERLEVEL,-9,Do not Use1 - User 1,5698,1415,1244,4617
Do not Use1,USERLEVEL,-9,Do not Use1 - User 2,2879,257,1846,1441
Do not Use1,USERLEVEL,-9,Do not Use1 - User 3,5256,2119,1954,2235
Do not Use1,USERLEVEL,-9,Do not Use1 - User 4,4116,3242,1643,5885
Do not Use1,USERLEVEL,-9,Do not Use1 - User 5,2352,114,4506,3219
Do not Use1,USERLEVEL,-9,Do not Use1 - User 6,268,5500,4927,1814
Do not Use1,USERLEVEL,-9,Do not Use1 - User 7,4292,5451,695,3209
Do not Use1,USERLEVEL,-9,Do not Use1 - User 8,964,1603,3930,2953
Do not Use1,USERLEVEL,-9,Do not Use1 - User 9,1269,417,1226,2146
Do not Use1,USERLEVEL,-9,Do not Use1 - User 10,5532,5831,4945,3920
Do not Use1,USERLEVEL,-10,Do not Use1 - User 1,2180,4105,4813,4803
Do not Use1,USERLEVEL,-10,Do not Use1 - User 2,4464,587,3616,911
Do not Use1,USERLEVEL,-10,Do not Use1 - User 3,3681,2244,3614,2993
Do not Use1,USERLEVEL,-10,Do not Use1 - User 4,1130,5141,4551,3590
Do not Use1,USERLEVEL,-10,Do not Use1 - User 5,2577,220,597,4045
Do not Use1,USERLEVEL,-10,Do not Use1 - User 6,999,5981,3927,4874
Do not Use1,USERLEVEL,-10,Do not Use1 - User 7,501,3024,1980,478
Do not Use1,USERLEVEL,-10,Do not Use1 - User 8,5574,2958,1943,5851
Do not Use1,USERLEVEL,-10,Do not Use1 - User 9,4528,245,1886,1476
Do not Use1,USERLEVEL,-10,Do not Use1 - User 10,2303,2709,5700,1844
Do not Use1,USERLEVEL,-11,Do not Use1 - User 1,4228,5255,3873,5202
Do not Use1,USERLEVEL,-11,Do not Use1 - User 2,1449,765,5193,2449
Do not Use1,USERLEVEL,-11,Do not Use1 - User 3,1589,1547,2844,4795
Do not Use1,USERLEVEL,-11,Do not Use1 - User 4,3566,990,822,415
Do not Use1,USERLEVEL,-11,Do not Use1 - User 5,2752,5232,3389,630
Do not Use1,USERLEVEL,-11,Do not Use1 - User 6,3569,4702,5797,5047
Do not Use1,USERLEVEL,-11,Do not Use1 - User 7,1680,4345,1108,3718
Do not Use1,USERLEVEL,-11,Do not Use1 - User 8,3705,986,506,778
Do not Use1,USERLEVEL,-11,Do not Use1 - User 9,1207,3449,2091,1823
Do not Use1,USERLEVEL,-11,Do not Use1 - User 10,4595,849,1357,2738
Do not Use1,USERLEVEL,-12,Do not Use1 - User 1,347,2703,5641,147
Do not Use1,USERLEVEL,-12,Do not Use1 - User 2,3903,2534,1210,4023
Do not Use1,USERLEVEL,-12,Do not Use1 - User 3,88,1420,5071,3695
Do not Use1,USERLEVEL,-12,Do not Use1 - User 4,3242,2504,4635,425
Do not Use1,USERLEVEL,-12,Do not Use1 - User 5,5643,4802,2123,995
Do not Use1,USERLEVEL,-12,Do not Use1 - User 6,10,5911,3023,308
Do not Use1,USERLEVEL,-12,Do not Use1 - User 7,3587,5031,4792,1923
Do not Use1,USERLEVEL,-12,Do not Use1 - User 8,2616,510,1991,1262
Do not Use1,USERLEVEL,-12,Do not Use1 - User 9,2370,4199,5896,3391
Do not Use1,USERLEVEL,-12,Do not Use1 - User 10,658,4139,3814,4663
Do not Use1,USERLEVEL,-13,Do not Use1 - User 1,2442,2840,2979,562
Do not Use1,USERLEVEL,-13,Do not Use1 - User 2,2003,3242,18,4128
Do not Use1,USERLEVEL,-13,Do not Use1 - User 3,4339,3443,4874,363
Do not Use1,USERLEVEL,-13,Do not Use1 - User 4,2309,2906,3437,4433
Do not Use1,USERLEVEL,-13,Do not Use1 - User 5,892,913,2759,2658
Do not Use1,USERLEVEL,-13,Do not Use1 - User 6,2509,2255,1073,5731
Do not Use1,USERLEVEL,-13,Do not Use1 - User 7,2738,4807,4100,2482
Do not Use1,USERLEVEL,-13,Do not Use1 - User 8,3472,1346,3271,631
Do not Use1,USERLEVEL,-13,Do not Use1 - User 9,1244,2084,813,2847
Do not Use1,USERLEVEL,-13,Do not Use1 - User 10,3614,497,1376,191
Do not Use1,USERLEVEL,-14,Do not Use1 - User 1,3542,3623,835,3794
Do not Use1,USERLEVEL,-14,Do not Use1 - User 2,1599,1018,2398,4999
Do not Use1,USERLEVEL,-14,Do not Use1 - User 3,2836,3615,4333,5929
Do not Use1,USERLEVEL,-14,Do not Use1 - User 4,3258,376,2431,4478
Do not Use1,USERLEVEL,-14,Do not Use1 - User 5,414,3452,193,811
Do not Use1,USERLEVEL,-14,Do not Use1 - User 6,5774,3888,5063,3745
Do not Use1,USERLEVEL,-14,Do not Use1 - User 7,2915,5759,2848,5687
Do not Use1,USERLEVEL,-14,Do not Use1 - User 8,4647,5583,2473,3132
Do not Use1,USERLEVEL,-14,Do not Use1 - User 9,1712,99,4391,2133
Do not Use1,USERLEVEL,-14,Do not Use1 - User 10,3205,4867,1296,2342
Do not Use1,USERLEVEL,-15,Do not Use1 - User 1,4895,4176,4780,445
Do not Use1,USERLEVEL,-15,Do not Use1 - User 2,4156,4879,5431,3223
Do not Use1,USERLEVEL,-15,Do not Use1 - User 3,4574,4673,613,1107
Do not Use1,USERLEVEL,-15,Do not Use1 - User 4,4341,4654,5417,5571
Do not Use1,USERLEVEL,-15,Do not Use1 - User 5,4117,1363,52,2518
Do not Use1,USERLEVEL,-15,Do not Use1 - User 6,4987,755,1031,3736
Do not Use1,USERLEVEL,-15,Do not Use1 - User 7,653,2986,4299,915
Do not Use1,USERLEVEL,-15,Do not Use1 - User 8,5263,3428,1008,2943
Do not Use1,USERLEVEL,-15,Do not Use1 - User 9,2647,3792,3593,4649
Do not Use1,USERLEVEL,-15,Do not Use1 - User 10,4268,286,2817,2426
Do not Use1,USERLEVEL,-16,Do not Use1 - User 1,1402,5993,3899,2827
Do not Use1,USERLEVEL,-16,Do not Use1 - User 2,271,5542,215,2054
Do not Use1,USERLEVEL,-16,Do not Use1 - User 3,4418,5036,856,3746
Do not Use1,USERLEVEL,-16,Do not Use1 - User 4,2689,556,116,3045
Do not Use1,USERLEVEL,-16,Do not Use1 - User 5,5234,2943,1663,5904
Do not Use1,USERLEVEL,-16,Do not Use1 - User 6,3515,1141,4898,2109
Do not Use1,USERLEVEL,-16,Do not Use1 - User 7,2890,2906,3600,3353
Do not Use1,USERLEVEL,-16,Do not Use1 - User 8,2539,259,627,2474
Do not Use1,USERLEVEL,-16,Do not Use1 - User 9,5722,92,5803,546
Do not Use1,USERLEVEL,-16,Do not Use1 - User 10,259,4867,2622,3920
Do not Use1,USERLEVEL,-17,Do not Use1 - User 1,2857,3137,4020,4368
Do not Use1,USERLEVEL,-17,Do not Use1 - User 2,982,5550,3229,3361
Do not Use1,USERLEVEL,-17,Do not Use1 - User 3,5457,2787,4200,5154
Do not Use1,USERLEVEL,-17,Do not Use1 - User 4,5458,2823,4531,34
Do not Use1,USERLEVEL,-17,Do not Use1 - User 5,2563,2407,4275,353
Do not Use1,USERLEVEL,-17,Do not Use1 - User 6,4243,489,4760,1429
Do not Use1,USERLEVEL,-17,Do not Use1 - User 7,421,1421,3883,4335
Do not Use1,USERLEVEL,-17,Do not Use1 - User 8,2302,44,2165,2651
Do not Use1,USERLEVEL,-17,Do not Use1 - User 9,4436,3830,2085,1027
Do not Use1,USERLEVEL,-17,Do not Use1 - User 10,3602,1760,79,4385
Do not Use1,USERLEVEL,-18,Do not Use1 - User 1,221,1293,5167,1307
Do not Use1,USERLEVEL,-18,Do not Use1 - User 2,5968,1995,2069,1681
Do not Use1,USERLEVEL,-18,Do not Use1 - User 3,5718,3490,3811,2612
Do not Use1,USERLEVEL,-18,Do not Use1 - User 4,1938,3731,2260,18
Do not Use1,USERLEVEL,-18,Do not Use1 - User 5,5182,15,5895,2560
Do not Use1,USERLEVEL,-18,Do not Use1 - User 6,3145,2104,566,142
Do not Use1,USERLEVEL,-18,Do not Use1 - User 7,4589,2457,1994,3380
Do not Use1,USERLEVEL,-18,Do not Use1 - User 8,4532,4653,2083,5893
Do not Use1,USERLEVEL,-18,Do not Use1 - User 9,4138,1302,4895,1178
Do not Use1,USERLEVEL,-18,Do not Use1 - User 10,3111,3808,3054,2469
Do not Use1,USERLEVEL,-19,Do not Use1 - User 1,2288,1377,2764,176
Do not Use1,USERLEVEL,-19,Do not Use1 - User 2,5910,2586,4806,1584
Do not Use1,USERLEVEL,-19,Do not Use1 - User 3,3941,1691,754,5179
Do not Use1,USERLEVEL,-19,Do not Use1 - User 4,3016,3185,2324,1872
Do not Use1,USERLEVEL,-19,Do not Use1 - User 5,3725,2665,5512,3211
Do not Use1,USERLEVEL,-19,Do not Use1 - User 6,5406,4417,2437,1369
Do not Use1,USERLEVEL,-19,Do not Use1 - User 7,3813,2986,1322,640
Do not Use1,USERLEVEL,-19,Do not Use1 - User 8,1638,3656,2771,3077
