Account,Name,Date,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
ST. CLAIR SERVICE,ACCOUNTLEVEL,-19,17469,5073,18286,1467,348,690,486,1906,2420
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-19,5867,1733,16378,18262,672,1071,52,1541,1604
CARNES KM SA DE CV,ACCOUNTLEVEL,-19,15200,15401,14477,7539,392,1015,134,1732,1675
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-19,17995,5364,13593,12322,407,811,189,1749,1782
COMNET SA DE CV,ACCOUNTLEVEL,-19,16303,14499,18553,10588,552,781,471,1327,2408
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-19,9008,18540,4497,9045,790,656,257,1589,2384
FRUITCORP SA DE CV,ACCOUNTLEVEL,-19,15674,16583,7851,1041,326,900,212,1566,1893
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-19,12241,10897,13385,14411,339,786,250,1150,2015
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-19,10088,10889,6138,16333,783,1093,85,1615,1986
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-19,4417,10263,4629,3290,331,812,337,1639,1727
K & S Contractors Supply Co,ACCOUNTLEVEL,-19,2901,12891,506,7510,659,970,492,1289,1980
Tioga Hardwoods Inc,ACCOUNTLEVEL,-19,8129,1526,15359,1681,549,1067,160,1144,1617
GHCL Limited,ACCOUNTLEVEL,-19,10156,13240,15951,4810,355,941,294,1674,1976
Motion Industries Inc.,ACCOUNTLEVEL,-19,7211,5816,9606,11650,637,1036,195,1362,1741
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-19,18062,13289,4059,6380,386,868,460,1914,2100
Quantum Foods,ACCOUNTLEVEL,-19,6718,2256,10330,5873,699,880,112,1534,2170
Family Magazine,ACCOUNTLEVEL,-19,11479,4250,10933,12564,383,953,12,1204,1834
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-19,7143,18373,14719,9444,400,1098,41,1607,2261
Innovative Laser Inc,ACCOUNTLEVEL,-19,15377,3721,6719,9541,687,676,451,1809,1574
Addis Housewares Ltd,ACCOUNTLEVEL,-19,17285,10758,3755,11919,775,1038,107,1054,2486
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-19,13735,8750,12993,13857,585,776,88,1762,2057
APLNG,ACCOUNTLEVEL,-19,2279,15658,12711,12848,430,1031,114,1183,1977
Quince Hungary Kft,ACCOUNTLEVEL,-19,13655,8605,6933,11447,590,938,418,1640,2092
Jandel Scientific Inc.,ACCOUNTLEVEL,-19,17676,9366,1022,5876,539,926,324,1072,1537
Viking Tool & Steel,ACCOUNTLEVEL,-19,9171,7663,9101,10688,612,828,194,1801,1811
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-19,10746,11759,6570,8314,378,932,412,1933,2321
MAPE USA,ACCOUNTLEVEL,-19,13572,489,1451,15024,302,1053,268,1587,1524
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-19,1261,11538,5830,7941,301,670,297,1241,2210
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-19,18496,6404,7242,10590,501,955,395,1115,2375
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-19,6948,2313,5509,18394,456,703,342,1776,2243
M&M SERVICE CO,ACCOUNTLEVEL,-19,16098,5114,6809,12083,678,839,70,1530,1966
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-19,14210,1122,1444,14975,497,713,170,1810,2355
L and P Financial Services Co,ACCOUNTLEVEL,-19,1992,7500,683,5940,382,943,298,1288,1536
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-19,4703,15457,4306,18865,689,758,152,1530,1744
CATMADER SL,ACCOUNTLEVEL,-19,364,1153,13614,9539,516,659,329,1630,2223
Tekno Inc,ACCOUNTLEVEL,-19,17950,14433,11253,15364,315,961,136,1486,1783
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-19,8549,9798,4198,15351,630,745,99,1525,2293
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-19,13647,8600,17861,16429,413,737,328,1797,1768
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-19,14843,6899,12655,5195,720,672,245,1310,2246
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-19,4100,7350,14574,7471,391,886,106,1062,1563
COMERGALV SA DE CV,ACCOUNTLEVEL,-19,11728,10796,7994,7689,590,704,22,1808,2106
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-19,321,3844,16369,7116,601,1054,25,1630,1962
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-19,12212,2596,818,18008,345,646,355,1317,1768
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-19,14884,844,18772,13438,649,1050,174,1804,1771
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-19,175,7664,10475,6903,633,982,122,1811,2134
TERENTRO SA DE CV,ACCOUNTLEVEL,-19,10434,16621,17947,10362,627,781,269,1008,1502
FUNTASTIC LIMITED,ACCOUNTLEVEL,-19,8581,1887,1622,10012,494,1090,65,1451,2097
DeeTag USA,ACCOUNTLEVEL,-19,11205,6687,4109,4484,584,762,455,1945,1975
Lakeland Village,ACCOUNTLEVEL,-19,1616,18432,15363,9790,327,861,412,1785,1672
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-19,14784,17351,4359,9104,514,638,372,1130,1724
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-19,17768,50,8027,13967,568,799,266,1116,1596
Do not Use1,ACCOUNTLEVEL,-19,15156,3837,9864,18082,672,881,284,1641,1901
Oil Chem Research Corp,ACCOUNTLEVEL,-19,18597,15819,16774,10351,527,939,48,1636,1710
LICK ELEVATOR,ACCOUNTLEVEL,-19,16105,9027,14438,2826,425,1069,339,1095,1508
Quanex Screens LLC,ACCOUNTLEVEL,-19,12414,10027,6810,2725,436,902,171,1610,1824
A and T unlimit Limited,ACCOUNTLEVEL,-18,6028,7261,14999,1966,612,763,485,1696,2366
Sienna Gold Ltd,ACCOUNTLEVEL,-18,13228,7701,13757,4456,415,641,102,1105,1907
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-18,7036,17738,12225,13719,781,976,336,1829,2351
Murex N.A. Ltd,ACCOUNTLEVEL,-18,17575,10418,14555,12194,674,751,350,1845,2113
Via Systems,ACCOUNTLEVEL,-18,7111,10164,9230,4995,702,883,213,1057,1967
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-18,8401,5040,8140,13073,657,911,200,1139,2087
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-18,4200,9468,4654,15130,497,692,417,1126,1685
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-18,6352,12575,311,12525,389,936,434,1572,1764
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-18,8954,16835,2045,18321,704,804,368,1143,1589
Anunay Fab Ltd,ACCOUNTLEVEL,-18,7169,16818,14987,2345,630,968,184,1111,2276
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-18,11530,12605,7127,16107,766,943,299,1062,1872
Jadow B & Sons Inc,ACCOUNTLEVEL,-18,18314,1956,13454,12277,423,756,487,1958,2396
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-18,6175,1331,5883,12291,326,868,71,1759,2239
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-18,3831,14353,10806,6062,309,680,9,1407,2256
Alltech Automotive LLC,ACCOUNTLEVEL,-18,1037,5750,18859,5913,664,614,465,1186,1809
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-18,2588,1058,18913,14978,785,870,217,1991,1559
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-18,14677,18918,13824,8623,787,772,253,1302,1805
ATTEBURY GRAIN,ACCOUNTLEVEL,-18,18555,14212,14819,17034,621,723,454,1091,1900
Vicor,ACCOUNTLEVEL,-18,14159,1552,5801,6128,755,1099,266,1457,1570
Baja Inc,ACCOUNTLEVEL,-18,10046,5980,7515,10673,331,769,447,1377,2481
National Assn of Printing Ink,ACCOUNTLEVEL,-18,7445,9421,838,14161,679,988,203,1637,1953
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-18,10901,6621,17147,13288,301,645,62,1244,1842
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-18,10478,13122,12507,14115,702,618,488,1527,2472
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-18,124,13222,12020,12440,343,753,391,1817,2087
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-18,12140,8326,3258,13503,641,1090,329,1433,2496
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-18,13763,6541,7059,10815,495,631,495,1993,1783
Triumph Tool NC Inc,ACCOUNTLEVEL,-18,42,2756,10728,14316,524,1012,402,1226,1636
Darta NV,ACCOUNTLEVEL,-18,3023,2830,11746,10897,518,1020,184,1433,2420
COTY UK LTD,ACCOUNTLEVEL,-18,4309,15238,3074,16872,751,980,243,1612,2212
Deal Partners Limited,ACCOUNTLEVEL,-18,17205,2225,16487,17752,712,666,105,1361,1725
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-18,1363,17571,3968,6737,754,612,220,1655,2026
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-18,7777,2192,2571,18585,654,829,377,1019,1568
GKN Sinter Metals,ACCOUNTLEVEL,-18,4112,15224,15192,12207,430,857,154,1807,1873
AGENCE PRESSE,ACCOUNTLEVEL,-18,4935,7320,11326,14033,308,931,343,1488,1743
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-18,11139,65,6345,4089,548,1098,129,1200,1889
AUREA SOFTWARE INC,ACCOUNTLEVEL,-18,275,1033,15131,9845,627,775,151,1550,1738
Ocean Sports Wear,ACCOUNTLEVEL,-18,17537,16658,7508,18847,798,633,357,1757,1858
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-18,9680,5299,12863,17007,325,999,478,1167,1851
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-18,1751,11285,6073,8406,740,771,497,1020,2069
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-18,6428,11096,14522,6027,616,687,290,1985,1929
UNIFOODS SA DE CV,ACCOUNTLEVEL,-18,13017,3118,2035,17976,777,720,486,1342,2063
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-18,6751,5072,12756,18222,643,873,30,1323,2146
JARDINS DE NORTENE,ACCOUNTLEVEL,-18,2395,6600,18423,15131,467,847,179,1160,1942
Terry Store age spa,ACCOUNTLEVEL,-18,10428,17783,13207,7362,517,653,303,1216,2355
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-18,1777,13810,334,10713,644,652,449,1212,2266
ST. CLAIR SERVICE,ACCOUNTLEVEL,-18,2186,13620,16335,8469,493,918,109,1007,1532
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-18,4483,5128,11450,10550,553,780,344,1227,2334
CARNES KM SA DE CV,ACCOUNTLEVEL,-18,7910,2671,17512,13819,396,1042,399,1710,1995
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-18,14060,18614,16267,16166,746,1022,8,1132,2429
COMNET SA DE CV,ACCOUNTLEVEL,-18,9074,16378,14450,11700,313,632,129,1597,1708
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-18,5505,11189,2112,7197,559,616,391,1289,2212
FRUITCORP SA DE CV,ACCOUNTLEVEL,-18,15069,12561,7133,11544,793,950,423,1035,1772
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-18,15845,3281,11740,8854,767,609,62,1065,1569
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-18,1821,16682,11775,6503,675,667,50,1635,1753
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-18,6412,2769,428,14272,744,879,131,1652,2453
K & S Contractors Supply Co,ACCOUNTLEVEL,-18,16632,11899,8805,6293,616,1004,201,1640,1556
Tioga Hardwoods Inc,ACCOUNTLEVEL,-18,6280,6696,3903,3324,345,645,231,1741,1732
GHCL Limited,ACCOUNTLEVEL,-18,1841,13325,12978,10554,390,754,227,1944,2189
Motion Industries Inc.,ACCOUNTLEVEL,-18,2766,6512,17389,4966,453,947,47,1757,1665
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-18,3489,10611,7675,15766,503,931,208,1253,1987
Quantum Foods,ACCOUNTLEVEL,-18,17318,18331,9142,15244,756,940,382,1229,2319
Family Magazine,ACCOUNTLEVEL,-18,17602,4189,9804,412,560,883,335,1950,2175
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-18,3957,9739,10836,13109,776,1058,430,1154,1833
Innovative Laser Inc,ACCOUNTLEVEL,-18,9550,14964,16253,6945,537,738,46,1946,2096
Addis Housewares Ltd,ACCOUNTLEVEL,-18,4404,12146,3780,10818,799,1053,378,1987,2124
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-18,10532,7860,5807,9678,429,1062,264,1308,2266
APLNG,ACCOUNTLEVEL,-18,12590,2893,2695,8040,792,1033,9,1095,2147
Quince Hungary Kft,ACCOUNTLEVEL,-18,2910,10402,4774,8014,301,722,185,1715,1868
Jandel Scientific Inc.,ACCOUNTLEVEL,-18,10259,15881,8999,5257,551,842,101,1170,1576
Viking Tool & Steel,ACCOUNTLEVEL,-18,17595,11952,7050,12303,332,937,62,1313,2339
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-18,13124,2248,8604,17288,456,1009,350,1579,1810
MAPE USA,ACCOUNTLEVEL,-18,13453,9779,3146,2769,613,1009,31,1216,2439
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-18,5875,2276,15438,6342,339,979,84,1685,1574
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-18,9771,9218,15641,3998,307,943,59,1522,2499
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-18,15787,286,6631,15427,561,879,304,1091,1756
M&M SERVICE CO,ACCOUNTLEVEL,-18,12775,17014,4140,5298,797,696,485,1061,2090
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-18,7345,10329,2749,8195,713,961,291,1233,1761
L and P Financial Services Co,ACCOUNTLEVEL,-18,15833,2135,11042,12565,776,631,416,1188,1857
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-18,18266,7101,11535,12748,571,1059,89,1938,1952
CATMADER SL,ACCOUNTLEVEL,-18,1458,7603,2038,11819,415,714,97,1028,2084
Tekno Inc,ACCOUNTLEVEL,-18,13918,13079,131,12090,429,723,275,1906,2112
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-18,9551,7616,11150,14751,702,693,197,1221,2473
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-18,8482,9056,9511,4418,474,763,445,1687,2181
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-18,17273,1752,9837,522,539,611,6,1518,2169
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-18,3990,2389,14187,8613,778,687,327,1749,1779
COMERGALV SA DE CV,ACCOUNTLEVEL,-18,10626,13413,10182,1712,481,976,362,1462,1779
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-18,946,8510,6636,6354,599,672,320,1054,1950
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-18,7656,6041,8013,14674,773,1068,137,1572,1854
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-18,18857,15692,16909,4596,694,817,107,1989,2237
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-18,18290,1089,14484,11870,306,1043,172,1291,1807
TERENTRO SA DE CV,ACCOUNTLEVEL,-18,4790,5250,7644,10704,586,813,86,1992,2294
FUNTASTIC LIMITED,ACCOUNTLEVEL,-18,5625,9179,3428,8763,530,891,359,1819,1857
DeeTag USA,ACCOUNTLEVEL,-18,5344,16172,4630,4624,630,671,33,1970,2250
Lakeland Village,ACCOUNTLEVEL,-18,13159,3432,14676,8523,557,678,331,1779,1983
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-18,16387,6924,18079,6110,629,748,486,1950,2099
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-18,11004,15369,12219,18035,464,947,325,1240,1599
Do not Use1,ACCOUNTLEVEL,-18,18582,4588,724,8707,352,1021,248,1853,1969
Oil Chem Research Corp,ACCOUNTLEVEL,-18,12119,15209,15120,10565,501,945,275,1393,1760
LICK ELEVATOR,ACCOUNTLEVEL,-18,11039,540,12755,2289,729,733,88,1349,1941
Quanex Screens LLC,ACCOUNTLEVEL,-18,7240,2735,12541,10431,620,691,32,1861,1512
A and T unlimit Limited,ACCOUNTLEVEL,-17,319,3574,3518,16835,499,830,383,1724,2279
Sienna Gold Ltd,ACCOUNTLEVEL,-17,15282,8255,16182,16066,745,943,45,1082,2200
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-17,1116,5026,6652,16391,707,1038,52,1757,2406
Murex N.A. Ltd,ACCOUNTLEVEL,-17,7511,1006,2883,12037,681,1046,240,1616,1536
Via Systems,ACCOUNTLEVEL,-17,11079,10176,4623,14705,491,647,193,1484,2006
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-17,16499,18844,8223,9536,539,673,223,1383,2227
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-17,2797,9794,12899,202,581,891,435,1977,2492
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-17,7355,12304,11941,7905,713,697,181,1410,2213
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-17,14885,10393,4964,14971,613,799,260,1810,2460
Anunay Fab Ltd,ACCOUNTLEVEL,-17,807,6737,14628,2600,544,933,249,1876,1565
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-17,2527,15504,16013,4448,305,969,265,1313,1534
Jadow B & Sons Inc,ACCOUNTLEVEL,-17,16275,16829,17450,7018,780,914,349,1853,1756
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-17,16319,9017,2183,6376,797,730,487,1627,1915
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-17,5612,16107,7870,12129,760,630,27,1062,2098
Alltech Automotive LLC,ACCOUNTLEVEL,-17,3947,1800,1815,17589,491,1008,345,1021,1873
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-17,6082,3839,11474,6723,747,721,284,1225,2165
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-17,8534,9845,12320,11013,513,933,486,1387,1880
ATTEBURY GRAIN,ACCOUNTLEVEL,-17,4579,13174,14331,2970,795,1090,478,1500,1795
Vicor,ACCOUNTLEVEL,-17,10734,7931,18715,11609,348,707,13,1674,2134
Baja Inc,ACCOUNTLEVEL,-17,2291,7303,14082,15421,656,809,282,1339,1574
National Assn of Printing Ink,ACCOUNTLEVEL,-17,112,3006,18836,4046,765,1014,413,1816,1516
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-17,407,1771,6460,18880,385,829,212,1293,1573
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-17,693,1374,8359,5887,644,1100,112,1117,1738
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-17,6388,4553,6210,14506,569,680,434,1201,1551
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-17,1930,6878,17539,13101,693,971,72,1647,2311
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-17,3142,17434,16716,12677,629,712,206,1139,1824
Triumph Tool NC Inc,ACCOUNTLEVEL,-17,652,5380,16941,9729,524,803,324,1596,1978
Darta NV,ACCOUNTLEVEL,-17,10220,2743,9350,1915,782,915,67,1907,2427
COTY UK LTD,ACCOUNTLEVEL,-17,8383,4557,18632,6856,427,748,448,1301,1861
Deal Partners Limited,ACCOUNTLEVEL,-17,1154,4285,11445,14928,592,737,494,1261,2011
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-17,5258,16277,5848,10178,541,603,221,1945,1983
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-17,17195,6365,16434,13054,346,984,51,1801,2465
GKN Sinter Metals,ACCOUNTLEVEL,-17,9072,942,9453,7739,586,839,178,1895,1908
AGENCE PRESSE,ACCOUNTLEVEL,-17,15099,5783,1770,13989,428,819,451,1641,2248
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-17,13500,2616,5306,15027,518,668,355,1696,2208
AUREA SOFTWARE INC,ACCOUNTLEVEL,-17,11001,15486,6505,8308,305,682,378,1561,1630
Ocean Sports Wear,ACCOUNTLEVEL,-17,10341,1915,12011,3804,323,856,429,1517,1718
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-17,7846,6219,1446,4513,644,988,494,1380,1807
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-17,10889,1447,8031,12992,615,610,330,1748,2494
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-17,1938,2418,10487,2628,407,1004,53,1482,2198
UNIFOODS SA DE CV,ACCOUNTLEVEL,-17,14347,11594,16974,10595,679,713,294,1534,1759
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-17,17108,17918,3408,9714,605,993,208,1436,2263
JARDINS DE NORTENE,ACCOUNTLEVEL,-17,15771,4611,15161,5623,536,936,344,1845,2307
Terry Store age spa,ACCOUNTLEVEL,-17,7263,14904,7468,8507,736,644,159,1788,1511
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-17,1959,12791,16288,17421,544,694,209,1783,2407
ST. CLAIR SERVICE,ACCOUNTLEVEL,-17,3851,3351,10856,16951,539,626,492,1900,1600
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-17,5007,15153,15272,3241,342,655,180,1521,2327
CARNES KM SA DE CV,ACCOUNTLEVEL,-17,10567,5317,1998,2282,498,922,17,1012,2045
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-17,18739,10590,14501,13167,391,916,113,1583,1757
COMNET SA DE CV,ACCOUNTLEVEL,-17,9075,13579,1157,200,426,813,225,1651,1904
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-17,2392,13468,11723,5322,573,705,432,1353,2119
FRUITCORP SA DE CV,ACCOUNTLEVEL,-17,17742,14489,2773,18066,609,999,5,1372,1745
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-17,5868,11699,6707,15078,347,1084,184,1168,2389
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-17,17256,50,12664,18026,718,649,367,1373,2411
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-17,11345,654,6812,669,451,832,125,1446,2402
K & S Contractors Supply Co,ACCOUNTLEVEL,-17,12805,1445,18615,3755,508,733,213,1806,1524
Tioga Hardwoods Inc,ACCOUNTLEVEL,-17,8674,4969,9717,5642,690,772,272,1027,2272
GHCL Limited,ACCOUNTLEVEL,-17,13518,16722,9904,926,553,1084,421,1238,2399
Motion Industries Inc.,ACCOUNTLEVEL,-17,1110,929,3144,12600,496,762,40,1123,1750
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-17,13207,9483,5270,2492,579,995,136,1670,2457
Quantum Foods,ACCOUNTLEVEL,-17,13028,11829,17347,16651,613,657,150,1699,1652
Family Magazine,ACCOUNTLEVEL,-17,1981,3019,473,263,534,1025,301,1762,1694
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-17,14723,2995,17031,8667,465,802,70,1792,1828
Innovative Laser Inc,ACCOUNTLEVEL,-17,11512,7585,10626,16247,453,1086,336,1507,1643
Addis Housewares Ltd,ACCOUNTLEVEL,-17,17684,10839,9256,2207,386,882,95,1128,1719
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-17,13856,11556,18153,842,534,748,280,1028,2348
APLNG,ACCOUNTLEVEL,-17,11604,10330,17565,7892,699,887,381,1514,1656
Quince Hungary Kft,ACCOUNTLEVEL,-17,16861,14888,13049,15925,335,660,335,1126,2134
Jandel Scientific Inc.,ACCOUNTLEVEL,-17,3885,18311,15864,15617,500,908,454,1991,1956
Viking Tool & Steel,ACCOUNTLEVEL,-17,15452,16515,14247,14166,667,973,477,1740,2491
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-17,14390,12949,1144,17025,370,801,291,1277,1681
MAPE USA,ACCOUNTLEVEL,-17,8044,9560,15858,18568,413,859,78,1434,1664
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-17,15896,10364,6170,17497,516,806,167,1363,1951
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-17,14404,17413,2063,17280,426,847,390,1585,2379
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-17,8642,4076,14837,5115,484,1042,134,1052,1890
M&M SERVICE CO,ACCOUNTLEVEL,-17,10080,8487,8987,6048,799,927,156,1252,2346
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-17,2133,9283,9481,5363,428,813,407,1405,2185
L and P Financial Services Co,ACCOUNTLEVEL,-17,9420,463,5088,8573,342,790,73,1853,1560
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-17,4236,12525,8609,6287,563,955,408,1552,2125
CATMADER SL,ACCOUNTLEVEL,-17,8925,17896,3476,2329,504,1056,39,1001,1720
Tekno Inc,ACCOUNTLEVEL,-17,3602,18022,9274,15377,432,1054,485,1037,2221
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-17,14333,7695,4569,6623,591,704,144,1901,1504
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-17,7954,7171,17390,297,777,631,410,1504,2204
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-17,156,10772,3989,18784,503,845,356,1388,1839
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-17,13357,14123,7040,14077,446,828,370,1876,1614
COMERGALV SA DE CV,ACCOUNTLEVEL,-17,18668,9554,6199,13478,783,619,482,1716,1644
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-17,8796,6261,14842,5453,787,903,477,1228,2049
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-17,9840,11029,3055,5011,519,974,207,1374,1623
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-17,15363,265,17285,18859,570,886,25,1139,1859
