Account,Name,Date,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-12,13047,5637,8307,11730,410,766,68,1652,2031
M&M SERVICE CO,ACCOUNTLEVEL,-12,1041,3797,2095,8596,644,1055,384,1984,1834
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-12,12465,14407,3239,2155,649,1013,494,1236,1943
L and P Financial Services Co,ACCOUNTLEVEL,-12,7786,11138,13994,10292,302,799,171,1348,2196
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-12,10167,13675,5708,489,708,863,201,1944,1724
CATMADER SL,ACCOUNTLEVEL,-12,5248,12302,13373,8563,451,915,284,1606,1863
Tekno Inc,ACCOUNTLEVEL,-12,13744,14734,1417,7882,512,842,107,1257,2364
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-12,8396,3548,4751,6255,685,1045,364,1156,2002
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-12,6517,4708,6540,12451,729,970,457,1239,2021
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-12,298,8290,5473,11814,685,771,484,1141,1698
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-12,13818,9214,12398,10588,714,1086,207,1501,2137
COMERGALV SA DE CV,ACCOUNTLEVEL,-12,4627,865,3603,14586,408,627,188,1108,1870
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-12,6194,11994,10207,13221,414,814,32,1644,1829
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-12,5416,14870,9211,5625,607,742,141,1038,2128
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-12,7131,6295,12821,12018,628,989,258,1850,2136
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-12,11036,12768,187,4350,696,725,183,1418,2298
TERENTRO SA DE CV,ACCOUNTLEVEL,-12,8702,2314,5999,13821,309,1077,482,1952,2347
FUNTASTIC LIMITED,ACCOUNTLEVEL,-12,12302,4319,12486,12647,537,732,73,1633,1536
DeeTag USA,ACCOUNTLEVEL,-12,13699,4032,3663,4248,453,756,112,1965,2426
Lakeland Village,ACCOUNTLEVEL,-12,3023,13299,428,1341,797,629,22,1486,2443
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-12,6321,10459,3760,8825,713,880,310,1097,1893
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-12,2570,9184,11197,3676,533,719,221,1331,1628
Do not Use1,ACCOUNTLEVEL,-12,6977,13488,12186,13289,422,742,378,1035,2209
Oil Chem Research Corp,ACCOUNTLEVEL,-12,9512,11531,1472,10290,770,952,274,1939,2078
LICK ELEVATOR,ACCOUNTLEVEL,-12,3842,10649,13023,9182,678,761,53,1879,1564
Quanex Screens LLC,ACCOUNTLEVEL,-12,1831,9533,4606,861,328,725,231,1804,2406
A and T unlimit Limited,ACCOUNTLEVEL,-11,4508,10318,3630,9125,671,1010,64,1422,1725
Sienna Gold Ltd,ACCOUNTLEVEL,-11,7805,4727,4007,3229,716,843,8,1270,2264
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-11,1817,14187,3078,6463,558,750,110,1869,1990
Murex N.A. Ltd,ACCOUNTLEVEL,-11,7213,12562,1687,12247,371,740,91,1848,2444
Via Systems,ACCOUNTLEVEL,-11,7403,2287,14930,9986,317,849,96,1482,1672
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-11,8739,3913,13675,650,690,802,369,1983,1629
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-11,5687,12368,5559,12074,446,640,243,1458,1544
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-11,10701,13521,1379,760,414,908,73,1305,1897
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-11,8259,11110,1174,10654,443,848,329,1923,2308
Anunay Fab Ltd,ACCOUNTLEVEL,-11,4525,5875,5028,9027,316,1054,456,1059,2110
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-11,6250,12796,6159,9945,517,886,144,1385,2248
Jadow B & Sons Inc,ACCOUNTLEVEL,-11,3926,2933,8160,14189,489,921,113,1198,1873
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-11,8378,8439,10929,9248,706,918,132,1803,1953
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-11,12905,14311,4807,8048,727,943,362,1983,2083
Alltech Automotive LLC,ACCOUNTLEVEL,-11,6289,7848,11180,10741,542,952,160,1525,2122
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-11,8040,10122,8232,13263,650,917,432,1771,2396
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-11,4528,6319,10632,11323,795,864,366,1147,1647
ATTEBURY GRAIN,ACCOUNTLEVEL,-11,7892,3725,3983,9786,536,918,467,1895,2500
Vicor,ACCOUNTLEVEL,-11,12542,1478,2194,4502,431,809,248,1523,2077
Baja Inc,ACCOUNTLEVEL,-11,7904,2148,5538,12494,414,903,272,1092,1653
National Assn of Printing Ink,ACCOUNTLEVEL,-11,4483,14406,11073,10814,766,824,495,1617,1837
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-11,4100,267,14855,7765,460,746,399,1436,2093
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-11,13236,744,6948,2760,746,954,199,1255,2427
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-11,1085,13934,13668,10606,472,875,237,1225,1757
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-11,14844,5835,11839,11816,431,677,16,1525,2048
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-11,10475,11623,13395,8149,694,812,329,1554,1787
Triumph Tool NC Inc,ACCOUNTLEVEL,-11,5655,13469,12850,14771,591,1038,145,1365,1840
Darta NV,ACCOUNTLEVEL,-11,5552,8718,5153,14401,800,1041,94,1691,2404
COTY UK LTD,ACCOUNTLEVEL,-11,13058,202,11584,9319,715,807,57,1112,2270
Deal Partners Limited,ACCOUNTLEVEL,-11,9013,12163,4188,9242,703,1079,18,1882,1865
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-11,6977,9937,8788,4934,599,709,139,1071,1719
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-11,1908,9902,1592,13197,473,651,95,1647,2500
GKN Sinter Metals,ACCOUNTLEVEL,-11,12587,4167,8063,12814,700,820,174,1240,1694
AGENCE PRESSE,ACCOUNTLEVEL,-11,6999,6832,12338,9868,714,1083,84,1152,1976
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-11,14758,11666,14513,11032,772,901,142,1738,2446
AUREA SOFTWARE INC,ACCOUNTLEVEL,-11,3060,3806,6006,13736,714,708,417,1994,1781
Ocean Sports Wear,ACCOUNTLEVEL,-11,377,10124,2893,5557,749,842,454,1050,2124
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-11,2903,11977,7700,12942,615,701,1,1320,1763
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-11,1462,14115,1752,12784,783,902,483,1878,2277
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-11,1311,8269,5661,1251,420,702,329,1241,1856
UNIFOODS SA DE CV,ACCOUNTLEVEL,-11,9490,4411,8671,14861,532,1056,245,1997,1908
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-11,2762,12145,10017,13762,590,1040,9,1560,2022
JARDINS DE NORTENE,ACCOUNTLEVEL,-11,167,12183,352,476,435,967,152,1932,2150
Terry Store age spa,ACCOUNTLEVEL,-11,485,13486,10350,7587,389,666,137,1290,1836
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-11,3920,6379,9952,1082,723,1054,28,1850,1792
ST. CLAIR SERVICE,ACCOUNTLEVEL,-11,5728,6316,12741,2660,587,925,476,1472,2203
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-11,11100,5094,9092,13339,585,903,19,1234,1710
CARNES KM SA DE CV,ACCOUNTLEVEL,-11,4225,10053,3744,4952,637,970,1,1337,1551
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-11,5757,13530,1315,12905,490,941,487,1043,1517
COMNET SA DE CV,ACCOUNTLEVEL,-11,10011,14532,11739,13468,692,832,158,1687,1966
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-11,12726,14368,8202,1878,790,976,143,1181,1554
FRUITCORP SA DE CV,ACCOUNTLEVEL,-11,4648,2529,7151,3498,458,701,331,1632,2182
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-11,5906,5040,24,4854,610,1016,304,1386,2410
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-11,13776,12372,11431,6434,483,1018,136,1637,1915
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-11,557,4983,12960,6979,747,971,361,1215,1977
K & S Contractors Supply Co,ACCOUNTLEVEL,-11,4741,6005,2255,14135,672,735,495,1197,2260
Tioga Hardwoods Inc,ACCOUNTLEVEL,-11,10622,70,5136,8308,590,817,151,1171,1541
GHCL Limited,ACCOUNTLEVEL,-11,9851,9513,8993,12082,659,702,330,1479,1732
Motion Industries Inc.,ACCOUNTLEVEL,-11,5903,6528,2086,6802,378,921,480,1557,1796
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-11,3285,1263,4695,11200,641,906,46,1392,1724
Quantum Foods,ACCOUNTLEVEL,-11,12173,4799,9105,8995,388,635,444,1657,2449
Family Magazine,ACCOUNTLEVEL,-11,12667,10669,5940,7176,522,752,398,1796,2181
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-11,11879,14967,14664,8319,729,922,47,1679,1922
Innovative Laser Inc,ACCOUNTLEVEL,-11,10312,10697,7831,9421,329,1086,229,1877,2366
Addis Housewares Ltd,ACCOUNTLEVEL,-11,13113,8175,5982,9984,626,1052,384,1435,1565
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-11,9251,4563,2472,5478,787,682,2,1645,2377
APLNG,ACCOUNTLEVEL,-11,4561,1209,10245,95,549,917,121,1845,2482
Quince Hungary Kft,ACCOUNTLEVEL,-11,1886,5542,11255,11890,517,969,340,1831,2233
Jandel Scientific Inc.,ACCOUNTLEVEL,-11,9568,7178,9952,9308,726,1053,278,1231,2414
Viking Tool & Steel,ACCOUNTLEVEL,-11,11247,8587,13866,12563,553,880,280,1149,2296
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-11,13183,4557,2954,7284,336,865,250,1541,2209
MAPE USA,ACCOUNTLEVEL,-11,459,1825,10779,9765,463,849,179,1426,2450
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-11,10858,12852,3016,5809,500,885,87,1131,2374
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-11,14037,3407,664,4354,520,996,231,1374,1658
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-11,518,4056,6713,5342,800,684,147,1459,1824
M&M SERVICE CO,ACCOUNTLEVEL,-11,4515,9477,4623,3376,461,763,210,1621,2202
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-11,4402,3543,10714,14736,640,675,78,1110,1787
L and P Financial Services Co,ACCOUNTLEVEL,-11,11851,7459,14717,184,590,1057,122,1859,1779
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-11,6565,3003,8780,4788,467,751,189,1148,2287
CATMADER SL,ACCOUNTLEVEL,-11,8309,6389,3569,14804,523,791,463,1583,2051
Tekno Inc,ACCOUNTLEVEL,-11,8339,12815,13933,665,726,864,7,1383,1532
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-11,9458,10066,1326,9435,732,1004,457,1002,2067
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-11,3851,1212,6746,6705,607,720,152,1260,1896
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-11,5741,2143,5508,9050,365,805,118,1705,1920
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-11,9094,5453,3480,11251,481,1038,387,1952,1825
COMERGALV SA DE CV,ACCOUNTLEVEL,-11,151,9826,9883,11248,797,1029,204,1467,2466
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-11,7118,5205,11586,6804,371,1082,50,1222,1923
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-11,10227,6397,1301,9995,405,680,171,1191,1755
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-11,6083,2428,1816,393,764,1033,124,1835,2137
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-11,14461,10120,13879,1415,751,975,83,1645,2249
TERENTRO SA DE CV,ACCOUNTLEVEL,-11,13205,13733,7768,14231,359,1085,367,1044,1706
FUNTASTIC LIMITED,ACCOUNTLEVEL,-11,352,5907,6045,356,753,1058,473,1642,1912
DeeTag USA,ACCOUNTLEVEL,-11,6189,12571,2533,6739,351,705,16,1588,2363
Lakeland Village,ACCOUNTLEVEL,-11,6035,4624,3420,4887,756,1045,493,1533,1826
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-11,8600,11248,2705,10383,574,1011,85,1593,2444
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-11,4107,10309,13277,11804,732,821,254,1694,2446
Do not Use1,ACCOUNTLEVEL,-11,4869,4205,10965,2947,307,965,450,1240,1997
Oil Chem Research Corp,ACCOUNTLEVEL,-11,2811,7888,47,5884,351,722,420,1885,1787
LICK ELEVATOR,ACCOUNTLEVEL,-11,12478,13309,4059,12544,731,721,31,1312,2441
Quanex Screens LLC,ACCOUNTLEVEL,-11,13219,9752,1169,7663,407,983,148,1882,1839
A and T unlimit Limited,ACCOUNTLEVEL,-10,12673,13404,9821,2464,462,693,340,1150,2136
Sienna Gold Ltd,ACCOUNTLEVEL,-10,8019,10961,2655,6381,610,1026,453,1683,2088
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-10,5412,14303,10269,7696,700,663,310,1274,2116
Murex N.A. Ltd,ACCOUNTLEVEL,-10,3865,3206,8828,1554,304,667,419,1337,2070
Via Systems,ACCOUNTLEVEL,-10,5213,14863,1540,2898,681,792,250,1499,1672
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-10,3551,13381,5593,11844,502,979,42,1008,2277
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-10,4916,5299,7269,181,352,982,132,1598,1605
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-10,4994,4902,13095,6478,394,1034,4,1582,2427
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-10,14903,10439,8038,1718,314,827,256,1582,1952
Anunay Fab Ltd,ACCOUNTLEVEL,-10,12429,1493,13937,6246,701,1009,167,1747,2489
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-10,9076,22,11788,9306,640,783,387,1192,2465
Jadow B & Sons Inc,ACCOUNTLEVEL,-10,13092,12559,4726,14368,524,688,143,1145,1594
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-10,2900,14891,4020,6164,381,846,109,1423,1840
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-10,61,2144,8745,4810,549,744,480,1765,1603
Alltech Automotive LLC,ACCOUNTLEVEL,-10,108,12192,13245,4266,356,952,360,1346,2107
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-10,10442,1671,3932,9152,681,942,71,1481,1553
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-10,159,9117,11512,11997,795,668,191,1369,2282
ATTEBURY GRAIN,ACCOUNTLEVEL,-10,13496,11454,6094,7951,609,1077,376,1477,2016
Vicor,ACCOUNTLEVEL,-10,14593,2219,14667,5308,519,1076,424,1688,2398
Baja Inc,ACCOUNTLEVEL,-10,7360,9797,7278,12795,306,751,283,1841,1724
National Assn of Printing Ink,ACCOUNTLEVEL,-10,1224,11408,8508,13082,359,755,24,1155,2110
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-10,11072,13128,6242,4860,597,742,48,1307,1555
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-10,5059,1266,12612,1782,310,729,203,1223,2214
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-10,8187,9804,3801,3359,669,942,19,1848,2064
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-10,4555,3517,9791,10909,473,810,351,1880,1859
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-10,560,12022,837,10789,593,859,330,1115,2309
Triumph Tool NC Inc,ACCOUNTLEVEL,-10,10703,10353,11509,8391,386,994,360,1450,2270
Darta NV,ACCOUNTLEVEL,-10,8146,9064,14708,7394,434,986,62,1417,2318
COTY UK LTD,ACCOUNTLEVEL,-10,5731,13445,10408,9137,587,979,219,1305,1989
Deal Partners Limited,ACCOUNTLEVEL,-10,3699,9495,5825,7792,723,680,365,1072,1723
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-10,14694,10660,5143,11283,564,995,20,1086,1938
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-10,11809,8590,1300,14013,523,660,362,1886,1688
GKN Sinter Metals,ACCOUNTLEVEL,-10,3183,5467,12190,11535,560,1045,369,1443,1524
AGENCE PRESSE,ACCOUNTLEVEL,-10,5168,12136,7314,2755,765,886,141,1538,2321
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-10,3973,11227,6475,2387,453,911,313,1219,2447
AUREA SOFTWARE INC,ACCOUNTLEVEL,-10,917,5990,2689,7383,478,1062,423,1883,2310
Ocean Sports Wear,ACCOUNTLEVEL,-10,13147,5404,4472,6271,734,747,148,1614,1843
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-10,2310,4933,2844,8306,729,1062,428,1094,2396
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-10,14280,3355,9976,11625,684,930,242,1382,2462
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-10,5851,11819,8614,9772,341,967,362,1581,2469
UNIFOODS SA DE CV,ACCOUNTLEVEL,-10,436,8941,5495,6430,512,700,418,1390,1568
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-10,13967,14714,13918,8546,568,1082,114,1492,1611
JARDINS DE NORTENE,ACCOUNTLEVEL,-10,5648,6723,11878,8157,437,834,295,1313,2370
Terry Store age spa,ACCOUNTLEVEL,-10,4342,12303,6300,2338,329,930,41,1268,1756
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-10,11407,9757,13479,14275,417,738,86,1527,2459
ST. CLAIR SERVICE,ACCOUNTLEVEL,-10,14787,13106,100,9432,346,693,397,1048,2305
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-10,2537,8106,11804,6474,432,1060,273,1755,1745
CARNES KM SA DE CV,ACCOUNTLEVEL,-10,11813,3473,6965,720,562,693,27,1323,2205
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-10,6115,12335,7046,14495,488,714,134,1541,2188
COMNET SA DE CV,ACCOUNTLEVEL,-10,7668,5808,9889,2400,387,907,60,1159,2346
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-10,13975,1128,3109,8628,796,1069,403,1903,1715
FRUITCORP SA DE CV,ACCOUNTLEVEL,-10,5983,12995,5695,6245,411,611,204,1227,2311
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-10,9754,7646,12291,8634,399,916,129,1575,2435
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-10,2291,8940,4839,12961,366,788,440,1882,2129
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-10,14022,13459,14249,13789,403,619,359,1595,1991
K & S Contractors Supply Co,ACCOUNTLEVEL,-10,12602,8319,8020,5032,402,871,131,1316,2000
Tioga Hardwoods Inc,ACCOUNTLEVEL,-10,8675,1399,1526,1393,463,904,348,1006,1555
GHCL Limited,ACCOUNTLEVEL,-10,1032,12107,10339,13229,484,1098,351,1086,2234
Motion Industries Inc.,ACCOUNTLEVEL,-10,4236,9588,13783,9009,459,1001,142,1618,2472
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-10,14523,9606,14248,4126,413,889,25,1831,1669
Quantum Foods,ACCOUNTLEVEL,-10,5007,3880,9974,12323,740,882,424,1007,2261
Family Magazine,ACCOUNTLEVEL,-10,5684,11433,13944,11832,710,740,256,1515,1764
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-10,306,8773,2977,14583,735,1044,288,1914,1936
Innovative Laser Inc,ACCOUNTLEVEL,-10,2311,12560,11628,14141,474,740,201,1684,2391
Addis Housewares Ltd,ACCOUNTLEVEL,-10,9251,9035,1245,4083,309,817,265,1428,2398
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-10,10602,5750,5227,2174,706,987,409,1319,2122
APLNG,ACCOUNTLEVEL,-10,13871,14194,4065,9259,639,1018,260,1200,1511
Quince Hungary Kft,ACCOUNTLEVEL,-10,10070,12500,3653,8282,527,828,333,1181,2292
Jandel Scientific Inc.,ACCOUNTLEVEL,-10,6216,11939,34,14905,306,818,55,1048,1928
Viking Tool & Steel,ACCOUNTLEVEL,-10,3389,13153,10774,10965,575,885,394,1891,2061
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-10,13233,11135,1256,11596,724,649,128,1809,2315
MAPE USA,ACCOUNTLEVEL,-10,11547,1654,7606,8167,356,890,457,1073,1535
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-10,4450,158,1202,6292,313,1037,54,1124,1618
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-10,5499,8776,2841,11183,660,860,286,1146,1719
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-10,14712,8593,9470,8136,549,850,173,1984,1724
M&M SERVICE CO,ACCOUNTLEVEL,-10,11046,4864,4379,2954,541,732,2,1364,2388
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-10,10870,12301,5473,5138,780,608,444,1272,2391
L and P Financial Services Co,ACCOUNTLEVEL,-10,3950,3636,7521,439,712,753,237,1902,1990
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-10,9358,6199,12353,11022,573,820,36,1874,1838
CATMADER SL,ACCOUNTLEVEL,-10,14419,2169,13557,14614,754,613,242,1172,2311
Tekno Inc,ACCOUNTLEVEL,-10,8303,12973,6446,4829,378,1068,237,1801,1662
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-10,5634,951,5569,11670,508,779,418,1466,2191
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-10,8777,684,13706,696,532,786,218,1516,1791
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-10,6517,355,12399,12151,667,977,349,1374,1862
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-10,6300,1244,9483,7319,505,887,305,1009,2365
COMERGALV SA DE CV,ACCOUNTLEVEL,-10,7400,1367,8031,5083,478,924,46,1952,1756
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-10,7476,3339,8040,6779,714,938,255,1533,1822
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-10,989,8286,4357,8527,734,675,398,1408,1968
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-10,12319,7527,13263,8508,581,1017,79,1425,1768
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-10,10544,4341,11300,13246,392,1007,444,1838,1649
TERENTRO SA DE CV,ACCOUNTLEVEL,-10,5796,10800,828,8695,544,825,446,1087,1879
FUNTASTIC LIMITED,ACCOUNTLEVEL,-10,12129,11494,983,11430,755,706,16,1603,1881
DeeTag USA,ACCOUNTLEVEL,-10,10652,10597,9889,13982,732,1056,357,1097,1617
Lakeland Village,ACCOUNTLEVEL,-10,4778,12964,2773,3292,760,747,14,1103,2076
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-10,8553,681,10984,11129,776,1056,343,1573,1646
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-10,14490,12782,1546,13066,729,772,225,1897,1765
Do not Use1,ACCOUNTLEVEL,-10,667,4553,4,792,769,739,452,1427,2284
Oil Chem Research Corp,ACCOUNTLEVEL,-10,13859,2326,13503,8926,442,1052,17,1686,2391
LICK ELEVATOR,ACCOUNTLEVEL,-10,12401,2505,846,7373,530,802,337,1664,2471
Quanex Screens LLC,ACCOUNTLEVEL,-10,2803,5351,14414,5782,709,693,260,1735,1519
A and T unlimit Limited,ACCOUNTLEVEL,-9,4943,7023,525,6708,670,923,462,1267,2295
Sienna Gold Ltd,ACCOUNTLEVEL,-9,4852,2172,3855,14502,591,838,273,1982,2438
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-9,11381,4610,9294,6517,731,754,32,1707,1836
Murex N.A. Ltd,ACCOUNTLEVEL,-9,13723,9153,9688,7434,769,986,279,1974,1544
Via Systems,ACCOUNTLEVEL,-9,289,14900,6345,6662,703,833,346,1782,2149
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-9,12373,4514,6623,11372,665,992,261,1175,2254
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-9,14663,7641,2677,12506,633,814,41,1487,1709
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-9,5775,2806,2443,5758,387,1051,351,1736,2252
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-9,7336,6039,11975,10669,729,1054,169,1048,1580
Anunay Fab Ltd,ACCOUNTLEVEL,-9,3264,11692,9931,6276,604,667,487,1356,2110
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-9,12474,8648,14740,3876,448,629,374,1127,2194
Jadow B & Sons Inc,ACCOUNTLEVEL,-9,10167,3696,5492,11795,336,813,246,1290,2292
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-9,308,7683,3558,8451,630,774,96,1486,1758
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-9,8809,5563,8824,10013,540,926,453,1592,1775
Alltech Automotive LLC,ACCOUNTLEVEL,-9,8545,1349,13912,6714,372,1060,370,1930,2100
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-9,439,5814,10763,1891,639,619,105,1854,1735
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-9,2669,10141,9263,8003,368,956,148,1539,1669
ATTEBURY GRAIN,ACCOUNTLEVEL,-9,4531,8602,3164,4004,647,1053,484,1961,1969
Vicor,ACCOUNTLEVEL,-9,7991,4341,8684,3403,714,732,276,1900,2354
