JBCXM__Account__r.Data_ExternalId__c,Name,JBCXM__Date__c,JBCXM__InstanceId__c,JBCXM__InstanceName__c,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
Adoption Test - Account 32,INSTANCELEVEL,-24,Production Instance -1,G-L Veneer Co Inc. - Production Instance -1,44,14,193,125,162,34,267,97,7114
Adoption Test - Account 33,INSTANCELEVEL,-24,Production Instance -1,Galbreath Co - Production Instance -1,65,48,149,105,181,60,347,2306,17427
Adoption Test - Account 34,INSTANCELEVEL,-24,Production Instance -1,Gallo Ernst & Julio Winery - Production Instance -1,33,22,185,34,227,10,528,4847,9099
Adoption Test - Account 35,INSTANCELEVEL,-24,Production Instance -1,Gamblers Anonymous - Production Instance -1,81,21,118,138,250,10,568,399,4221
Adoption Test - Account 36,INSTANCELEVEL,-24,Production Instance -1,Halcyon Assoc - Production Instance -1,94,11,131,15,235,8,529,7508,14343
Adoption Test - Account 37,INSTANCELEVEL,-24,Production Instance -1,Hambro International Venture F - Production Instance -1,11,35,68,79,207,6,327,9976,5532
Adoption Test - Account 38,INSTANCELEVEL,-24,Production Instance -1,Hardy James G & Co - Production Instance -1,60,44,121,15,217,5,954,7876,18284
Adoption Test - Account 39,INSTANCELEVEL,-24,Production Instance -1,Harkavy Information Service - Production Instance -1,87,49,72,144,182,10,599,6017,11012
Adoption Test - Account 40,INSTANCELEVEL,-24,Production Instance -1,Harken Marketing Co - Production Instance -1,71,48,108,56,102,48,433,2723,14883
Adoption Test - Account 41,INSTANCELEVEL,-24,Production Instance -1,IBIS Systems Inc. - Production Instance -1,97,37,142,9,138,55,614,7012,3559
Adoption Test - Account 42,INSTANCELEVEL,-24,Production Instance -1,IBK Capital Inc - Production Instance -1,29,45,99,56,202,26,198,3512,3402
Adoption Test - Account 43,INSTANCELEVEL,-24,Production Instance -1,IBM Corp Data Systems Div - Production Instance -1,1,32,119,145,131,42,868,2441,16924
Adoption Test - Account 44,INSTANCELEVEL,-24,Production Instance -1,ICM Corp - Production Instance -1,58,11,119,108,145,43,152,5853,1137
Adoption Test - Account 45,INSTANCELEVEL,-24,Production Instance -1,ImageTek Corp - Production Instance -1,48,16,123,21,186,41,845,653,9357
Adoption Test - Account 46,INSTANCELEVEL,-24,Production Instance -1,Jadow B & Sons Inc - Production Instance -1,26,12,68,50,234,33,82,9344,9037
Adoption Test - Account 47,INSTANCELEVEL,-24,Production Instance -1,Jaff Brothers Woodworks Inc - Production Instance -1,12,32,128,137,143,1,209,7133,8913
Adoption Test - Account 48,INSTANCELEVEL,-24,Production Instance -1,Jandel Scientific Inc. - Production Instance -1,13,23,181,101,157,58,228,5272,16136
Adoption Test - Account 49,INSTANCELEVEL,-24,Production Instance -1,Japanese American Citizens Lea - Production Instance -1,70,47,162,127,235,23,723,3614,2088
Adoption Test - Account 50,INSTANCELEVEL,-24,Production Instance -1,K & S Contractors Supply Co - Production Instance -1,95,28,112,105,154,12,908,5536,6961
Adoption Test - Account 51,INSTANCELEVEL,-24,Production Instance -1,Kahlert Assoc Inc - Production Instance -1,92,15,54,23,145,21,73,4314,2258
Adoption Test - Account 52,INSTANCELEVEL,-24,Production Instance -1,Kaiser Steel Resources Inc - Production Instance -1,98,13,101,22,224,26,999,8677,4842
Adoption Test - Account 53,INSTANCELEVEL,-24,Production Instance -1,Karabelas Furs Inc - Production Instance -1,60,20,165,4,141,58,427,7002,13453
Adoption Test - Account 54,INSTANCELEVEL,-24,Production Instance -1,Karpen & Steel Products Inc - Production Instance -1,2,30,115,144,240,6,975,4590,7784
Adoption Test - Account 55,INSTANCELEVEL,-24,Production Instance -1,La Costa Hotel & Spa - Production Instance -1,71,36,178,77,150,1,191,9645,2653
Adoption Test - Account 56,INSTANCELEVEL,-24,Production Instance -1,Lafferty RF & Co Inc - Production Instance -1,27,11,65,13,110,38,515,3000,6144
Adoption Test - Account 57,INSTANCELEVEL,-24,Production Instance -1,Lake County - Production Instance -1,13,48,119,89,172,46,840,9897,1861
Adoption Test - Account 58,INSTANCELEVEL,-24,Production Instance -1,Lakeland Village - Production Instance -1,6,20,182,112,236,15,234,3705,17179
Adoption Test - Account 59,INSTANCELEVEL,-24,Production Instance -1,Lexidata Corporation - Production Instance -1,99,37,82,54,206,7,911,857,1962
Adoption Test - Account 60,INSTANCELEVEL,-24,Production Instance -1,Madonna Construction Co - Production Instance -1,72,48,139,137,166,16,950,7458,5287
Adoption Test - Account 61,INSTANCELEVEL,-24,Production Instance -1,Magma Power Co - Production Instance -1,64,30,184,27,231,45,500,3095,7385
Adoption Test - Account 62,INSTANCELEVEL,-24,Production Instance -1,Magna Mill Products - Production Instance -1,16,41,117,60,135,20,219,6880,5779
Adoption Test - Account 63,INSTANCELEVEL,-24,Production Instance -1,Majestic Entertainment - Production Instance -1,78,45,119,43,159,42,11,1754,4181
Adoption Test - Account 64,INSTANCELEVEL,-24,Production Instance -1,Mall Side Sports - Production Instance -1,55,49,124,115,224,46,527,5440,4454
Adoption Test - Account 65,INSTANCELEVEL,-24,Production Instance -1,N/S Corp - Production Instance -1,89,28,105,58,218,36,244,6974,12296
Adoption Test - Account 66,INSTANCELEVEL,-24,Production Instance -1,Nardon Mfg Company Incorporated - Production Instance -1,27,26,186,94,231,1,560,4062,14586
Adoption Test - Account 67,INSTANCELEVEL,-24,Production Instance -1,Nash Direct - Production Instance -1,12,40,177,25,151,17,172,81,4620
Adoption Test - Account 68,INSTANCELEVEL,-24,Production Instance -1,National Assn of Printing Ink - Production Instance -1,96,16,86,76,133,50,444,2271,7300
Adoption Test - Account 69,INSTANCELEVEL,-24,Production Instance -1,Nixdorf Computer - Production Instance -1,67,18,122,92,227,38,515,5234,1650
Adoption Test - Account 70,INSTANCELEVEL,-24,Production Instance -1,O-Cel-O Div General Mills Inc. - Production Instance -1,2,34,96,128,124,20,111,5055,4722
Adoption Test - Account 71,INSTANCELEVEL,-24,Production Instance -1,Oakland Carbide Engineering & - Production Instance -1,26,43,190,89,132,55,909,1792,3633
Adoption Test - Account 72,INSTANCELEVEL,-24,Production Instance -1,Ocean Sports - Production Instance -1,79,21,101,99,197,47,899,5056,14531
Adoption Test - Account 73,INSTANCELEVEL,-24,Production Instance -1,Ocean Sports Wear - Production Instance -1,96,47,65,45,110,60,295,4736,8267
Adoption Test - Account 74,INSTANCELEVEL,-24,Production Instance -1,OKeeffes Inc - Production Instance -1,54,18,84,142,153,8,21,3326,18432
Adoption Test - Account 75,INSTANCELEVEL,-24,Production Instance -1,P & C Food Markets Inc - Production Instance -1,94,13,138,59,135,14,65,6186,17994
Adoption Test - Account 76,INSTANCELEVEL,-24,Production Instance -1,P.S.C. - Production Instance -1,74,26,107,69,141,43,337,3316,9678
Adoption Test - Account 77,INSTANCELEVEL,-24,Production Instance -1,PacDevco Inc - Production Instance -1,31,16,81,121,224,47,42,7705,13681
Adoption Test - Account 78,INSTANCELEVEL,-24,Production Instance -1,Pace Press Inc - Production Instance -1,54,22,161,133,106,40,831,9166,4966
Adoption Test - Account 79,INSTANCELEVEL,-24,Production Instance -1,Purity-Supreme Inc. - Production Instance -1,25,23,126,34,129,56,178,3071,2000
Adoption Test - Account 80,INSTANCELEVEL,-24,Production Instance -1,Quadrex Corp - Production Instance -1,98,15,96,29,245,55,31,9166,2863
Adoption Test - Account 81,INSTANCELEVEL,-24,Production Instance -1,Quaker Fashions - Production Instance -1,86,20,69,70,164,38,101,653,6608
Adoption Test - Account 82,INSTANCELEVEL,-24,Production Instance -1,Queensborough Public Library - Production Instance -1,97,41,69,99,175,45,533,4133,5799
Adoption Test - Account 83,INSTANCELEVEL,-24,Production Instance -1,Quinn/Brein Inc - Production Instance -1,3,12,174,100,125,40,589,9806,1995
Adoption Test - Account 84,INSTANCELEVEL,-24,Production Instance -1,Quota Systems Inc. - Production Instance -1,98,21,190,123,147,3,857,9835,18261
Adoption Test - Account 85,INSTANCELEVEL,-24,Production Instance -1,R-F Industries Inc - Production Instance -1,34,16,161,24,250,59,216,5990,13032
Adoption Test - Account 86,INSTANCELEVEL,-24,Production Instance -1,Raceway Engines - Production Instance -1,90,11,130,149,247,24,171,7222,18825
Adoption Test - Account 87,INSTANCELEVEL,-24,Production Instance -1,Raleigh Active Wear - Production Instance -1,97,43,159,52,234,58,802,7216,13627
Adoption Test - Account 88,INSTANCELEVEL,-24,Production Instance -1,Raleigh Co. - Production Instance -1,52,13,157,124,232,14,872,9109,5807
Adoption Test - Account 89,INSTANCELEVEL,-24,Production Instance -1,Ralston Inc. - Production Instance -1,59,21,102,63,214,58,966,9378,10875
Adoption Test - Account 90,INSTANCELEVEL,-24,Production Instance -1,Sabena-Belgian World Airlines - Production Instance -1,78,42,120,86,162,42,841,9897,6875
Adoption Test - Account 91,INSTANCELEVEL,-24,Production Instance -1,Safeway Plumbing & Heating Inc - Production Instance -1,3,30,125,108,193,33,471,1494,2190
Adoption Test - Account 92,INSTANCELEVEL,-24,Production Instance -1,Saint Johns University Staten - Production Instance -1,31,14,156,135,220,3,197,1872,14352
Adoption Test - Account 93,INSTANCELEVEL,-24,Production Instance -1,Star Markets - Production Instance -1,63,47,200,24,176,7,704,9826,9904
Adoption Test - Account 94,INSTANCELEVEL,-24,Production Instance -1,State House Active Wear - Production Instance -1,80,28,175,83,153,15,169,1475,7736
Adoption Test - Account 95,INSTANCELEVEL,-24,Production Instance -1,Tapecon Inc - Production Instance -1,70,45,79,14,115,44,428,9748,16172
Adoption Test - Account 96,INSTANCELEVEL,-24,Production Instance -1,TDA Industries Inc - Production Instance -1,41,11,163,97,142,55,753,6694,7344
Adoption Test - Account 97,INSTANCELEVEL,-24,Production Instance -1,TEAC Corp. of America - Production Instance -1,4,20,102,127,164,60,289,7484,15797
Adoption Test - Account 98,INSTANCELEVEL,-24,Production Instance -1,Tech Fire & Safety Company - Production Instance -1,20,46,195,107,147,27,5,110,2205
Adoption Test - Account 99,INSTANCELEVEL,-24,Production Instance -1,Teradyne - Production Instance -1,97,18,89,4,106,17,938,3795,8931
Adoption Test - Account 100,INSTANCELEVEL,-24,Production Instance -1,UBAF Arab American Bank - Production Instance -1,4,10,130,62,213,12,410,9971,7352
Adoption Test - Account 101,INSTANCELEVEL,-24,Production Instance -1,UniAmerica Inc - Production Instance -1,63,41,97,111,166,14,657,1560,3522
Adoption Test - Account 102,INSTANCELEVEL,-24,Production Instance -1,Union Flights - Production Instance -1,5,37,138,23,215,16,940,3584,17110
Adoption Test - Account 103,INSTANCELEVEL,-24,Production Instance -1,United Artists Theater Circuit - Production Instance -1,31,49,132,70,228,13,442,2712,14483
Adoption Test - Account 104,INSTANCELEVEL,-24,Production Instance -1,United Can Co. - Production Instance -1,28,15,181,136,250,59,250,7655,10172
Adoption Test - Account 105,INSTANCELEVEL,-24,Production Instance -1,Veritas Software - Production Instance -1,90,29,77,60,231,22,814,7277,4187
Adoption Test - Account 106,INSTANCELEVEL,-24,Production Instance -1,Via Systems - Production Instance -1,24,10,194,89,248,35,468,4995,1544
Adoption Test - Account 107,INSTANCELEVEL,-24,Production Instance -1,Vicor - Production Instance -1,46,17,115,134,243,47,489,6606,9432
Adoption Test - Account 108,INSTANCELEVEL,-24,Production Instance -1,Volga Boats - Production Instance -1,72,34,109,81,101,23,397,2151,13504
Adoption Test - Account 109,INSTANCELEVEL,-24,Production Instance -1,Vyrex - Production Instance -1,48,35,62,83,215,2,304,8622,10103
Adoption Test - Account 110,INSTANCELEVEL,-24,Production Instance -1,Wallys World - Production Instance -1,75,16,61,138,100,6,820,7504,19227
Adoption Test - Account 111,INSTANCELEVEL,-24,Production Instance -1,Westend Dealers - Production Instance -1,1,26,152,77,129,21,965,4395,19957
Adoption Test - Account 112,INSTANCELEVEL,-24,Production Instance -1,Westinghouse Corporation - Production Instance -1,28,20,92,63,133,25,967,2416,1513
Adoption Test - Account 113,INSTANCELEVEL,-24,Production Instance -1,Wind & Rain - Production Instance -1,49,47,181,62,111,12,649,7003,7107
Adoption Test - Account 114,INSTANCELEVEL,-24,Production Instance -1,Wyse Corp. - Production Instance -1,5,22,188,92,138,4,504,8607,13916
Adoption Test - Account 115,INSTANCELEVEL,-24,Production Instance -1,Xerox - Production Instance -1,8,17,129,65,153,33,276,5697,10604
Adoption Test - Account 116,INSTANCELEVEL,-24,Production Instance -1,Yesterday Productions Corp. - Production Instance -1,63,45,53,0,128,27,604,9992,15631
Adoption Test - Account 117,INSTANCELEVEL,-24,Production Instance -1,Ziff-Davis Labs - Production Instance -1,72,21,62,79,204,48,336,8896,6900
Adoption Test - Account 118,INSTANCELEVEL,-24,Production Instance -1,Zoo Gift Shop - Production Instance -1,32,19,129,33,233,37,99,970,16856
Adoption Test - Account 1,INSTANCELEVEL,-23,Production Instance -1,AAR Corp Hardware Abscoa Division - Production Instance -1,83,27,107,57,172,23,114,1955,4322
Adoption Test - Account 2,INSTANCELEVEL,-23,Production Instance -1,Abacus Programming Corporation - Production Instance -1,88,16,189,95,250,58,218,6413,18104
Adoption Test - Account 3,INSTANCELEVEL,-23,Production Instance -1,Abberley Kooiman - Production Instance -1,39,26,72,25,115,45,645,1806,8272
Adoption Test - Account 4,INSTANCELEVEL,-23,Production Instance -1,Abbett Electric Corp - Production Instance -1,45,33,113,150,220,44,476,4027,8730
Adoption Test - Account 5,INSTANCELEVEL,-23,Production Instance -1,Abbey Press Inc - Production Instance -1,45,26,80,24,104,54,621,7685,1647
Adoption Test - Account 6,INSTANCELEVEL,-23,Production Instance -1,Bachman Information System Inc. - Production Instance -1,44,18,192,64,217,34,372,6126,3983
Adoption Test - Account 7,INSTANCELEVEL,-23,Production Instance -1,Back Stage Magazine - Production Instance -1,3,34,82,109,245,7,870,3666,6312
Adoption Test - Account 8,INSTANCELEVEL,-23,Production Instance -1,Baker & McKenzie - Production Instance -1,82,32,88,119,124,37,380,3256,18759
Adoption Test - Account 9,INSTANCELEVEL,-23,Production Instance -1,Balfour Maclaine International - Production Instance -1,86,21,112,118,234,27,579,4597,9328
Adoption Test - Account 10,INSTANCELEVEL,-23,Production Instance -1,Ball & Socket Mfg Co - Production Instance -1,84,31,176,50,127,48,182,2402,19837
Adoption Test - Account 11,INSTANCELEVEL,-23,Production Instance -1,Caco-Pacific Corp. - Production Instance -1,41,12,130,96,142,36,986,5440,12986
Adoption Test - Account 12,INSTANCELEVEL,-23,Production Instance -1,CADAM Inc. - Production Instance -1,40,44,145,23,105,20,429,5310,10810
Adoption Test - Account 13,INSTANCELEVEL,-23,Production Instance -1,Cadbury Beverages Div Cadbury - Production Instance -1,57,39,191,5,231,17,669,8666,10613
Adoption Test - Account 14,INSTANCELEVEL,-23,Production Instance -1,Cahn Instruments Inc - Production Instance -1,48,38,50,96,104,18,92,7679,9094
Adoption Test - Account 15,INSTANCELEVEL,-23,Production Instance -1,Cal-Pac Roofing Inc - Production Instance -1,58,17,68,79,149,32,313,6489,10591
Adoption Test - Account 16,INSTANCELEVEL,-23,Production Instance -1,Dai-Ichi Kangyo Bank - Production Instance -1,10,28,88,18,108,37,564,4376,7722
Adoption Test - Account 17,INSTANCELEVEL,-23,Production Instance -1,Daisy of California - Production Instance -1,92,45,158,36,234,28,247,1232,7754
Adoption Test - Account 18,INSTANCELEVEL,-23,Production Instance -1,Daley Business Forms - Production Instance -1,70,30,96,91,114,45,137,2609,13767
Adoption Test - Account 19,INSTANCELEVEL,-23,Production Instance -1,Dame Belts & Bag Co Inc - Production Instance -1,100,35,142,123,132,1,252,8399,17536
Adoption Test - Account 20,INSTANCELEVEL,-23,Production Instance -1,Dana Marketing Inc - Production Instance -1,35,45,124,122,109,29,152,6650,5443
Adoption Test - Account 21,INSTANCELEVEL,-23,Production Instance -1,East Bay Brass Foundry - Production Instance -1,33,12,128,69,244,24,128,6312,8033
Adoption Test - Account 22,INSTANCELEVEL,-23,Production Instance -1,East Coast Traders - Production Instance -1,86,38,57,6,111,59,807,3147,12396
Adoption Test - Account 23,INSTANCELEVEL,-23,Production Instance -1,East/West Computers Inc - Production Instance -1,50,27,129,8,106,59,940,656,17565
Adoption Test - Account 24,INSTANCELEVEL,-23,Production Instance -1,Eastern Municipal Water Distri - Production Instance -1,65,49,69,68,192,59,852,4585,18299
Adoption Test - Account 25,INSTANCELEVEL,-23,Production Instance -1,Eastman Kodak Company Health Sciences Division - Production Instance -1,93,24,73,31,223,1,372,9679,13188
Adoption Test - Account 26,INSTANCELEVEL,-23,Production Instance -1,Facts on File Newsletter - Production Instance -1,30,41,183,62,152,21,235,1815,14844
Adoption Test - Account 27,INSTANCELEVEL,-23,Production Instance -1,Family Magazine - Production Instance -1,78,44,124,50,180,11,354,5848,5999
Adoption Test - Account 28,INSTANCELEVEL,-23,Production Instance -1,Fedder RP Corp - Production Instance -1,24,15,75,65,108,48,239,8326,2920
Adoption Test - Account 29,INSTANCELEVEL,-23,Production Instance -1,Fell David H & Company Inc - Production Instance -1,36,21,130,73,244,51,21,7808,10577
Adoption Test - Account 30,INSTANCELEVEL,-23,Production Instance -1,Ferrara Foods & Confections - Production Instance -1,1,16,59,123,167,19,227,3897,8374
Adoption Test - Account 31,INSTANCELEVEL,-23,Production Instance -1,G Group - Production Instance -1,11,31,143,17,111,2,123,4037,2476
Adoption Test - Account 32,INSTANCELEVEL,-23,Production Instance -1,G-L Veneer Co Inc. - Production Instance -1,27,38,152,140,221,60,131,4822,17265
Adoption Test - Account 33,INSTANCELEVEL,-23,Production Instance -1,Galbreath Co - Production Instance -1,22,43,157,144,200,11,276,4662,5615
Adoption Test - Account 34,INSTANCELEVEL,-23,Production Instance -1,Gallo Ernst & Julio Winery - Production Instance -1,76,18,106,51,240,4,577,2636,7540
Adoption Test - Account 35,INSTANCELEVEL,-23,Production Instance -1,Gamblers Anonymous - Production Instance -1,14,28,153,24,166,25,645,4804,2169
Adoption Test - Account 36,INSTANCELEVEL,-23,Production Instance -1,Halcyon Assoc - Production Instance -1,39,13,67,29,229,7,2,3504,5913
Adoption Test - Account 37,INSTANCELEVEL,-23,Production Instance -1,Hambro International Venture F - Production Instance -1,98,38,129,21,102,19,741,2786,18154
Adoption Test - Account 38,INSTANCELEVEL,-23,Production Instance -1,Hardy James G & Co - Production Instance -1,41,25,109,19,249,45,968,3648,15518
Adoption Test - Account 39,INSTANCELEVEL,-23,Production Instance -1,Harkavy Information Service - Production Instance -1,87,23,97,112,137,11,793,4000,4288
Adoption Test - Account 40,INSTANCELEVEL,-23,Production Instance -1,Harken Marketing Co - Production Instance -1,16,28,169,52,132,47,460,8545,178
Adoption Test - Account 41,INSTANCELEVEL,-23,Production Instance -1,IBIS Systems Inc. - Production Instance -1,84,11,177,75,181,13,896,2254,849
Adoption Test - Account 42,INSTANCELEVEL,-23,Production Instance -1,IBK Capital Inc - Production Instance -1,49,34,164,62,231,27,704,2056,9724
Adoption Test - Account 43,INSTANCELEVEL,-23,Production Instance -1,IBM Corp Data Systems Div - Production Instance -1,80,37,179,106,213,38,685,2827,9688
Adoption Test - Account 44,INSTANCELEVEL,-23,Production Instance -1,ICM Corp - Production Instance -1,17,50,160,35,153,17,696,7182,10144
Adoption Test - Account 45,INSTANCELEVEL,-23,Production Instance -1,ImageTek Corp - Production Instance -1,58,31,119,145,188,47,208,4867,18507
Adoption Test - Account 46,INSTANCELEVEL,-23,Production Instance -1,Jadow B & Sons Inc - Production Instance -1,54,32,154,124,215,40,422,2110,16439
Adoption Test - Account 47,INSTANCELEVEL,-23,Production Instance -1,Jaff Brothers Woodworks Inc - Production Instance -1,85,30,85,12,118,24,660,2823,5279
Adoption Test - Account 48,INSTANCELEVEL,-23,Production Instance -1,Jandel Scientific Inc. - Production Instance -1,14,45,126,35,244,13,123,5812,4394
Adoption Test - Account 49,INSTANCELEVEL,-23,Production Instance -1,Japanese American Citizens Lea - Production Instance -1,43,23,108,91,242,59,894,9077,14854
Adoption Test - Account 50,INSTANCELEVEL,-23,Production Instance -1,K & S Contractors Supply Co - Production Instance -1,3,21,87,12,187,6,828,6309,10514
Adoption Test - Account 51,INSTANCELEVEL,-23,Production Instance -1,Kahlert Assoc Inc - Production Instance -1,75,21,105,75,161,55,333,9132,12212
Adoption Test - Account 52,INSTANCELEVEL,-23,Production Instance -1,Kaiser Steel Resources Inc - Production Instance -1,70,45,63,74,235,12,874,9582,3574
Adoption Test - Account 53,INSTANCELEVEL,-23,Production Instance -1,Karabelas Furs Inc - Production Instance -1,14,43,160,61,157,42,814,5674,17632
Adoption Test - Account 54,INSTANCELEVEL,-23,Production Instance -1,Karpen & Steel Products Inc - Production Instance -1,96,38,72,82,240,44,436,4374,16169
Adoption Test - Account 55,INSTANCELEVEL,-23,Production Instance -1,La Costa Hotel & Spa - Production Instance -1,36,27,183,82,117,54,835,7796,1092
Adoption Test - Account 56,INSTANCELEVEL,-23,Production Instance -1,Lafferty RF & Co Inc - Production Instance -1,74,43,100,110,102,4,269,9165,1604
Adoption Test - Account 57,INSTANCELEVEL,-23,Production Instance -1,Lake County - Production Instance -1,8,49,107,119,130,3,994,2430,6467
Adoption Test - Account 58,INSTANCELEVEL,-23,Production Instance -1,Lakeland Village - Production Instance -1,97,50,181,15,110,27,544,2954,14053
Adoption Test - Account 59,INSTANCELEVEL,-23,Production Instance -1,Lexidata Corporation - Production Instance -1,46,50,80,86,229,28,51,9910,2843
Adoption Test - Account 60,INSTANCELEVEL,-23,Production Instance -1,Madonna Construction Co - Production Instance -1,42,45,78,27,133,25,284,5764,9303
Adoption Test - Account 61,INSTANCELEVEL,-23,Production Instance -1,Magma Power Co - Production Instance -1,35,46,181,70,182,10,41,4855,15449
Adoption Test - Account 62,INSTANCELEVEL,-23,Production Instance -1,Magna Mill Products - Production Instance -1,94,12,143,65,130,34,440,7282,18607
Adoption Test - Account 63,INSTANCELEVEL,-23,Production Instance -1,Majestic Entertainment - Production Instance -1,95,33,164,145,167,8,873,1164,17463
Adoption Test - Account 64,INSTANCELEVEL,-23,Production Instance -1,Mall Side Sports - Production Instance -1,8,19,169,87,170,23,860,1742,5277
Adoption Test - Account 65,INSTANCELEVEL,-23,Production Instance -1,N/S Corp - Production Instance -1,36,16,146,121,192,45,964,4686,8713
Adoption Test - Account 66,INSTANCELEVEL,-23,Production Instance -1,Nardon Mfg Company Incorporated - Production Instance -1,10,12,173,42,105,26,781,9723,11143
Adoption Test - Account 67,INSTANCELEVEL,-23,Production Instance -1,Nash Direct - Production Instance -1,69,37,100,94,115,12,824,1599,6848
Adoption Test - Account 68,INSTANCELEVEL,-23,Production Instance -1,National Assn of Printing Ink - Production Instance -1,82,12,89,57,121,5,400,7941,8730
Adoption Test - Account 69,INSTANCELEVEL,-23,Production Instance -1,Nixdorf Computer - Production Instance -1,26,20,139,49,195,51,166,7056,9208
Adoption Test - Account 70,INSTANCELEVEL,-23,Production Instance -1,O-Cel-O Div General Mills Inc. - Production Instance -1,65,11,175,67,235,52,578,6492,15959
Adoption Test - Account 71,INSTANCELEVEL,-23,Production Instance -1,Oakland Carbide Engineering & - Production Instance -1,37,21,125,101,123,60,937,2628,14945
Adoption Test - Account 72,INSTANCELEVEL,-23,Production Instance -1,Ocean Sports - Production Instance -1,72,49,105,15,149,9,9,7118,8796
Adoption Test - Account 73,INSTANCELEVEL,-23,Production Instance -1,Ocean Sports Wear - Production Instance -1,75,36,63,65,215,17,107,7800,6207
Adoption Test - Account 74,INSTANCELEVEL,-23,Production Instance -1,OKeeffes Inc - Production Instance -1,39,48,105,135,206,38,536,853,15338
Adoption Test - Account 75,INSTANCELEVEL,-23,Production Instance -1,P & C Food Markets Inc - Production Instance -1,87,38,177,17,201,37,928,27,17785
Adoption Test - Account 76,INSTANCELEVEL,-23,Production Instance -1,P.S.C. - Production Instance -1,82,30,84,84,121,45,462,1991,635
Adoption Test - Account 77,INSTANCELEVEL,-23,Production Instance -1,PacDevco Inc - Production Instance -1,42,21,65,132,101,29,638,5710,14155
Adoption Test - Account 78,INSTANCELEVEL,-23,Production Instance -1,Pace Press Inc - Production Instance -1,7,34,86,7,172,20,504,6999,5909
Adoption Test - Account 79,INSTANCELEVEL,-23,Production Instance -1,Purity-Supreme Inc. - Production Instance -1,50,12,121,41,181,35,893,1113,7448
Adoption Test - Account 80,INSTANCELEVEL,-23,Production Instance -1,Quadrex Corp - Production Instance -1,100,13,115,6,133,27,891,7791,19612
Adoption Test - Account 81,INSTANCELEVEL,-23,Production Instance -1,Quaker Fashions - Production Instance -1,27,16,65,91,206,41,547,2788,12488
Adoption Test - Account 82,INSTANCELEVEL,-23,Production Instance -1,Queensborough Public Library - Production Instance -1,57,50,57,71,239,3,847,3742,8693
Adoption Test - Account 83,INSTANCELEVEL,-23,Production Instance -1,Quinn/Brein Inc - Production Instance -1,92,49,173,18,167,55,847,6785,7160
Adoption Test - Account 84,INSTANCELEVEL,-23,Production Instance -1,Quota Systems Inc. - Production Instance -1,60,41,119,134,180,59,336,2787,15433
Adoption Test - Account 85,INSTANCELEVEL,-23,Production Instance -1,R-F Industries Inc - Production Instance -1,86,47,152,112,196,40,318,3839,1661
Adoption Test - Account 86,INSTANCELEVEL,-23,Production Instance -1,Raceway Engines - Production Instance -1,56,47,130,144,132,41,69,6247,11758
Adoption Test - Account 87,INSTANCELEVEL,-23,Production Instance -1,Raleigh Active Wear - Production Instance -1,95,28,67,70,247,22,691,5660,8805
Adoption Test - Account 88,INSTANCELEVEL,-23,Production Instance -1,Raleigh Co. - Production Instance -1,9,32,170,112,173,36,963,1889,2187
Adoption Test - Account 89,INSTANCELEVEL,-23,Production Instance -1,Ralston Inc. - Production Instance -1,81,47,185,33,141,3,517,1311,8498
Adoption Test - Account 90,INSTANCELEVEL,-23,Production Instance -1,Sabena-Belgian World Airlines - Production Instance -1,50,39,72,95,154,41,970,7403,17699
Adoption Test - Account 91,INSTANCELEVEL,-23,Production Instance -1,Safeway Plumbing & Heating Inc - Production Instance -1,76,29,171,103,210,15,913,3411,10724
Adoption Test - Account 92,INSTANCELEVEL,-23,Production Instance -1,Saint Johns University Staten - Production Instance -1,27,25,192,0,138,17,928,9333,17107
Adoption Test - Account 93,INSTANCELEVEL,-23,Production Instance -1,Star Markets - Production Instance -1,31,24,187,41,240,40,403,6942,2950
Adoption Test - Account 94,INSTANCELEVEL,-23,Production Instance -1,State House Active Wear - Production Instance -1,96,38,149,16,122,28,997,3430,12253
Adoption Test - Account 95,INSTANCELEVEL,-23,Production Instance -1,Tapecon Inc - Production Instance -1,2,27,135,27,203,19,18,8529,17892
Adoption Test - Account 96,INSTANCELEVEL,-23,Production Instance -1,TDA Industries Inc - Production Instance -1,65,44,181,108,145,29,361,568,9588
Adoption Test - Account 97,INSTANCELEVEL,-23,Production Instance -1,TEAC Corp. of America - Production Instance -1,85,23,103,125,100,32,340,7680,3777
Adoption Test - Account 98,INSTANCELEVEL,-23,Production Instance -1,Tech Fire & Safety Company - Production Instance -1,5,50,59,58,107,30,361,2193,3623
Adoption Test - Account 99,INSTANCELEVEL,-23,Production Instance -1,Teradyne - Production Instance -1,31,16,154,9,236,38,94,5477,19459
Adoption Test - Account 100,INSTANCELEVEL,-23,Production Instance -1,UBAF Arab American Bank - Production Instance -1,7,32,163,35,187,20,745,9123,2907
Adoption Test - Account 101,INSTANCELEVEL,-23,Production Instance -1,UniAmerica Inc - Production Instance -1,57,29,166,5,137,6,878,3835,13005
Adoption Test - Account 102,INSTANCELEVEL,-23,Production Instance -1,Union Flights - Production Instance -1,18,50,74,57,236,8,488,5796,10282
Adoption Test - Account 103,INSTANCELEVEL,-23,Production Instance -1,United Artists Theater Circuit - Production Instance -1,92,12,67,34,200,26,496,1710,9853
